date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;43;31;50;54;56;46;68
02.01.2020;41;47;49;47;45;52;57
03.01.2020;40;49;45;49;55;44;52
04.01.2020;43;44;44;61;67;42;70
05.01.2020;15;61;52;49;50;53;52
06.01.2020;35;48;50;69;51;46;62
07.01.2020;42;42;61;53;53;35;60
08.01.2020;38;63;59;52;61;38;61
09.01.2020;38;36;52;56;55;44;59
10.01.2020;52;57;47;66;64;59;51
11.01.2020;31;41;55;58;82;45;78
12.01.2020;45;54;61;62;54;53;60
13.01.2020;42;43;61;59;60;48;47
14.01.2020;57;49;51;50;60;55;47
15.01.2020;34;39;48;59;56;50;41
16.01.2020;33;60;59;60;49;71;47
17.01.2020;36;47;57;64;65;50;52
18.01.2020;51;52;49;46;67;52;61
19.01.2020;41;53;45;52;51;49;48
20.01.2020;46;47;34;42;56;60;51
21.01.2020;44;48;55;44;64;48;52
22.01.2020;45;39;49;50;59;49;64
23.01.2020;36;65;62;52;58;61;53
24.01.2020;47;47;45;57;62;55;38
25.01.2020;38;54;58;51;69;52;56
26.01.2020;38;62;61;59;57;56;50
27.01.2020;47;61;51;37;64;63;46
28.01.2020;44;52;47;48;60;60;57
29.01.2020;44;41;48;47;64;51;47
30.01.2020;46;91;47;52;55;43;44
31.01.2020;34;48;49;77;58;34;42
01.02.2020;42;38;54;43;31;48;49
02.02.2020;48;54;60;51;54;44;52
03.02.2020;38;38;68;55;71;78;45
04.02.2020;41;35;62;51;63;57;56
05.02.2020;64;54;39;43;57;49;47
06.02.2020;59;53;47;44;66;50;46
07.02.2020;42;35;56;49;48;60;42
08.02.2020;36;60;52;45;55;31;41
09.02.2020;49;48;52;50;49;41;53
10.02.2020;45;38;39;40;54;57;50
11.02.2020;37;44;64;45;54;57;35
12.02.2020;52;35;31;66;60;45;43
13.02.2020;45;52;40;45;50;42;53
14.02.2020;32;44;42;64;50;51;42
15.02.2020;35;45;48;44;60;43;48
16.02.2020;35;49;46;42;29;48;48
17.02.2020;37;54;45;40;44;49;39
18.02.2020;41;37;44;32;44;42;47
19.02.2020;46;32;50;45;59;58;40
20.02.2020;45;44;39;53;58;51;37
21.02.2020;38;44;56;50;42;44;37
22.02.2020;36;50;65;47;41;39;54
23.02.2020;57;36;51;33;42;48;36
24.02.2020;26;38;29;47;32;52;46
25.02.2020;49;33;60;36;52;42;43
26.02.2020;46;41;46;47;40;58;50
27.02.2020;41;43;52;54;45;50;48
28.02.2020;39;48;45;44;32;51;43
29.02.2020;;48;;;;46;
01.03.2020;27;36;56;44;31;32;48
02.03.2020;49;31;30;46;46;53;52
03.03.2020;34;55;46;46;62;49;53
04.03.2020;43;39;47;40;39;66;51
05.03.2020;32;57;36;48;34;47;43
06.03.2020;59;43;53;50;49;50;54
07.03.2020;47;60;57;45;39;44;45
08.03.2020;39;38;48;61;53;46;52
09.03.2020;45;45;58;49;41;46;50
10.03.2020;45;51;42;37;26;45;59
11.03.2020;48;35;44;52;46;49;54
12.03.2020;33;38;53;57;61;50;56
13.03.2020;41;47;44;51;40;49;42
14.03.2020;46;53;51;38;47;43;45
15.03.2020;48;41;41;45;46;46;61
16.03.2020;49;48;42;39;57;58;61
17.03.2020;36;31;49;39;58;58;43
18.03.2020;40;28;58;37;38;40;50
19.03.2020;33;37;45;59;36;53;51
20.03.2020;29;35;40;52;35;56;46
21.03.2020;32;27;40;57;43;63;64
22.03.2020;36;45;47;48;53;54;60
23.03.2020;40;43;50;55;53;48;48
24.03.2020;34;47;49;36;42;38;53
25.03.2020;35;35;54;46;37;37;53
26.03.2020;36;44;31;40;44;60;45
27.03.2020;47;48;36;39;49;38;51
28.03.2020;43;37;42;53;33;56;49
29.03.2020;26;45;41;34;38;45;50
30.03.2020;37;45;33;30;39;61;51
31.03.2020;45;33;41;44;55;56;68
01.04.2020;43;36;57;32;47;55;63
02.04.2020;37;33;33;45;45;51;56
03.04.2020;30;26;57;47;47;50;51
04.04.2020;46;38;52;47;52;53;57
05.04.2020;30;41;49;43;36;44;55
06.04.2020;46;50;49;44;32;53;50
07.04.2020;35;37;43;37;45;59;66
08.04.2020;34;41;53;45;60;40;59
09.04.2020;36;36;35;34;52;47;59
10.04.2020;28;46;31;47;40;51;60
11.04.2020;23;29;43;39;37;56;54
12.04.2020;45;43;47;45;48;55;55
13.04.2020;30;40;50;46;50;60;59
14.04.2020;38;38;41;37;37;42;74
15.04.2020;35;48;52;36;46;60;
16.04.2020;46;32;45;56;42;51;
17.04.2020;42;29;46;58;37;46;
18.04.2020;42;50;60;47;43;40;
19.04.2020;34;45;37;36;42;56;
20.04.2020;45;38;43;54;35;37;
21.04.2020;36;22;43;43;36;39;
22.04.2020;32;42;29;55;43;35;
23.04.2020;28;32;58;36;38;44;
24.04.2020;40;45;48;49;44;37;
25.04.2020;26;27;50;59;55;53;
26.04.2020;29;44;41;36;35;47;
27.04.2020;30;40;40;48;46;50;
28.04.2020;35;28;40;49;45;55;
29.04.2020;43;36;36;39;57;38;
30.04.2020;29;32;36;44;51;38;
01.05.2020;37;37;34;42;41;56;
02.05.2020;45;49;37;52;36;42;
03.05.2020;33;35;40;52;44;41;
04.05.2020;37;47;44;44;26;41;
05.05.2020;29;40;49;52;41;45;
06.05.2020;36;23;39;40;43;32;
07.05.2020;38;49;32;42;44;56;
08.05.2020;28;29;43;46;40;43;
09.05.2020;31;38;44;44;34;36;
10.05.2020;35;40;46;48;47;46;
11.05.2020;41;47;42;39;46;33;
12.05.2020;45;38;40;29;44;49;
13.05.2020;42;46;48;29;41;57;
14.05.2020;35;35;46;61;50;51;
15.05.2020;37;53;38;41;44;40;
16.05.2020;30;40;35;43;49;50;
17.05.2020;54;37;53;58;42;43;
18.05.2020;37;41;52;45;30;49;
19.05.2020;32;23;28;56;37;60;
20.05.2020;44;35;40;58;47;42;
21.05.2020;33;53;39;43;36;49;
22.05.2020;30;32;36;43;55;46;
23.05.2020;35;50;40;40;35;43;
24.05.2020;21;37;34;48;41;45;
25.05.2020;38;45;49;39;41;38;
26.05.2020;38;37;54;37;41;40;
27.05.2020;34;27;54;40;51;37;
28.05.2020;29;44;36;48;50;52;
29.05.2020;31;34;42;33;50;38;
30.05.2020;30;37;38;34;45;40;
31.05.2020;27;48;37;47;41;52;
01.06.2020;41;46;32;35;37;41;
02.06.2020;36;36;46;40;50;39;
03.06.2020;33;32;46;38;31;48;
04.06.2020;43;57;34;39;43;50;
05.06.2020;36;32;46;33;39;40;
06.06.2020;39;36;27;47;43;35;
07.06.2020;30;38;45;52;45;36;
08.06.2020;27;36;35;42;47;57;
09.06.2020;34;29;46;31;42;44;
10.06.2020;36;39;36;30;52;47;
11.06.2020;42;31;20;36;42;41;
12.06.2020;26;43;31;40;40;39;
13.06.2020;41;29;45;42;35;30;
14.06.2020;32;43;49;35;30;44;
15.06.2020;37;45;38;34;39;44;
16.06.2020;34;43;36;46;39;53;
17.06.2020;44;34;45;51;40;50;
18.06.2020;38;48;38;37;44;55;
19.06.2020;36;33;35;39;44;51;
20.06.2020;30;41;35;52;32;50;
21.06.2020;41;34;40;30;50;48;
22.06.2020;36;33;40;38;32;37;
23.06.2020;40;46;37;39;45;45;
24.06.2020;22;29;40;31;34;56;
25.06.2020;44;44;42;57;50;55;
26.06.2020;27;32;31;46;38;46;
27.06.2020;46;47;36;35;53;38;
28.06.2020;33;40;39;46;42;29;
29.06.2020;35;29;42;40;38;59;
30.06.2020;31;33;62;41;25;39;
01.07.2020;37;26;59;43;52;45;
02.07.2020;33;40;61;45;44;63;
03.07.2020;41;27;45;48;39;51;
04.07.2020;41;31;60;38;39;49;
05.07.2020;27;34;36;46;52;45;
06.07.2020;24;34;43;33;38;49;
07.07.2020;30;28;50;48;41;48;
08.07.2020;25;40;37;37;37;54;
09.07.2020;30;33;46;42;44;51;
10.07.2020;21;29;43;40;44;66;
11.07.2020;40;36;43;51;44;49;
12.07.2020;44;47;47;33;32;62;
13.07.2020;38;29;39;36;33;41;
14.07.2020;33;43;49;42;30;45;
15.07.2020;34;27;39;43;30;62;
16.07.2020;35;32;42;31;31;54;
17.07.2020;34;53;52;43;33;41;
18.07.2020;34;40;36;38;34;49;
19.07.2020;35;28;40;40;33;43;
20.07.2020;40;38;37;44;41;45;
21.07.2020;35;21;49;40;28;42;
22.07.2020;35;37;43;33;42;57;
23.07.2020;29;47;34;37;41;39;
24.07.2020;27;22;34;42;32;35;
25.07.2020;41;37;53;40;23;58;
26.07.2020;33;39;61;42;31;40;
27.07.2020;42;37;46;22;39;48;
28.07.2020;31;39;42;41;32;41;
29.07.2020;41;44;35;48;40;51;
30.07.2020;50;34;40;38;47;48;
31.07.2020;62;38;47;41;43;47;
01.08.2020;47;39;32;41;41;45;
02.08.2020;47;44;36;41;37;49;
03.08.2020;45;35;37;53;40;39;
04.08.2020;47;33;50;37;43;44;
05.08.2020;38;44;45;34;33;46;
06.08.2020;39;42;31;42;44;50;
07.08.2020;38;38;45;34;30;52;
08.08.2020;52;48;58;39;61;34;
09.08.2020;24;50;37;37;41;41;
10.08.2020;39;46;34;47;32;53;
11.08.2020;36;50;48;45;32;53;
12.08.2020;30;46;27;41;48;51;
13.08.2020;47;36;37;41;48;45;
14.08.2020;31;51;42;55;37;41;
15.08.2020;33;49;46;32;45;44;
16.08.2020;35;46;48;38;47;42;
17.08.2020;41;45;39;25;50;38;
18.08.2020;40;33;27;40;41;35;
19.08.2020;41;49;43;47;31;60;
20.08.2020;43;37;33;36;55;45;
21.08.2020;36;27;46;29;30;44;
22.08.2020;41;48;42;53;39;38;
23.08.2020;29;33;30;35;45;49;
24.08.2020;34;37;38;42;35;51;
25.08.2020;54;34;38;39;29;34;
26.08.2020;31;40;21;24;38;50;
27.08.2020;34;33;25;50;37;40;
28.08.2020;32;37;45;43;39;52;
29.08.2020;31;32;36;42;35;39;
30.08.2020;28;40;32;38;35;42;
31.08.2020;49;42;45;42;36;57;
01.09.2020;27;39;37;51;38;60;
02.09.2020;34;41;42;43;32;53;
03.09.2020;36;32;34;42;43;53;
04.09.2020;31;28;54;46;49;43;
05.09.2020;38;40;24;38;47;48;
06.09.2020;34;38;35;41;40;49;
07.09.2020;39;48;44;36;46;50;
08.09.2020;34;41;45;44;33;49;
09.09.2020;31;26;41;38;32;45;
10.09.2020;29;44;42;43;44;48;
11.09.2020;26;42;57;37;35;46;
12.09.2020;30;43;38;35;35;58;
13.09.2020;34;42;50;39;34;43;
14.09.2020;37;41;44;32;47;59;
15.09.2020;31;32;41;32;38;46;
16.09.2020;34;46;37;55;33;42;
17.09.2020;33;31;55;47;29;47;
18.09.2020;30;36;54;44;49;41;
19.09.2020;40;51;36;37;38;46;
20.09.2020;33;32;53;38;42;37;
21.09.2020;37;41;38;27;52;44;
22.09.2020;38;30;39;28;35;39;
23.09.2020;30;41;30;40;37;55;
24.09.2020;28;35;34;33;43;50;
25.09.2020;29;36;45;34;39;60;
26.09.2020;40;46;38;44;45;56;
27.09.2020;36;31;27;37;37;44;
28.09.2020;44;38;50;42;38;56;
29.09.2020;35;42;51;31;41;48;
30.09.2020;37;39;34;29;44;38;
01.10.2020;39;49;40;53;42;47;
02.10.2020;38;32;35;44;37;44;
03.10.2020;39;31;30;45;43;55;
04.10.2020;29;42;33;43;41;47;
05.10.2020;42;51;27;37;43;52;
06.10.2020;32;52;45;41;39;54;
07.10.2020;36;49;52;59;37;54;
08.10.2020;41;54;37;37;43;41;
09.10.2020;27;45;33;37;39;54;
10.10.2020;48;41;38;39;41;44;
11.10.2020;32;44;41;33;40;47;
12.10.2020;27;42;42;55;39;53;
13.10.2020;38;40;31;38;32;60;
14.10.2020;45;49;39;38;43;40;
15.10.2020;31;42;48;44;38;57;
16.10.2020;36;40;43;40;41;49;
17.10.2020;40;35;46;41;41;49;
18.10.2020;37;45;36;39;56;48;
19.10.2020;34;51;51;41;36;57;
20.10.2020;42;35;36;39;49;40;
21.10.2020;40;44;34;48;48;50;
22.10.2020;49;45;35;38;29;61;
23.10.2020;37;35;51;26;28;43;
24.10.2020;34;32;54;41;47;60;
25.10.2020;37;49;42;48;50;68;
26.10.2020;36;49;44;56;32;70;
27.10.2020;39;45;54;30;40;77;
28.10.2020;33;48;43;37;37;65;
29.10.2020;42;48;45;21;32;76;
30.10.2020;32;51;49;44;49;80;
31.10.2020;38;47;44;36;33;76;
01.11.2020;36;42;38;43;40;79;
02.11.2020;48;45;47;43;40;87;
03.11.2020;33;47;41;30;42;71;
04.11.2020;42;55;38;28;37;98;
05.11.2020;30;40;47;46;32;72;
06.11.2020;39;48;52;44;50;83;
07.11.2020;47;54;48;44;38;89;
08.11.2020;39;42;64;53;35;97;
09.11.2020;37;47;50;45;36;103;
10.11.2020;42;53;41;39;38;90;
11.11.2020;37;51;37;34;54;106;
12.11.2020;36;33;33;39;50;106;
13.11.2020;37;42;39;49;38;94;
14.11.2020;40;48;63;49;52;96;
15.11.2020;25;45;48;36;42;105;
16.11.2020;42;43;43;32;51;119;
17.11.2020;39;43;39;31;34;103;
18.11.2020;34;45;50;49;36;111;
19.11.2020;38;41;50;42;44;108;
20.11.2020;38;44;42;42;43;111;
21.11.2020;45;49;55;40;41;102;
22.11.2020;36;46;63;44;57;92;
23.11.2020;41;38;46;47;43;109;
24.11.2020;41;39;41;34;34;121;
25.11.2020;45;63;44;42;52;113;
26.11.2020;39;47;43;39;48;89;
27.11.2020;37;47;58;51;39;118;
28.11.2020;51;41;61;37;34;98;
29.11.2020;27;56;44;35;34;109;
30.11.2020;29;43;50;48;55;113;
01.12.2020;39;46;53;34;53;128;
02.12.2020;39;31;58;41;40;116;
03.12.2020;33;47;39;45;49;131;
04.12.2020;28;41;49;39;41;108;
05.12.2020;55;46;56;53;38;91;
06.12.2020;33;43;54;44;48;94;
07.12.2020;33;44;47;46;41;109;
08.12.2020;35;41;54;40;38;94;
09.12.2020;51;36;40;38;42;127;
10.12.2020;40;69;50;35;36;88;
11.12.2020;32;35;54;37;44;110;
12.12.2020;43;63;40;44;37;107;
13.12.2020;34;53;51;40;42;85;
14.12.2020;47;41;56;46;26;102;
15.12.2020;53;30;38;34;51;103;
16.12.2020;34;41;53;53;51;103;
17.12.2020;31;34;31;43;49;85;
18.12.2020;28;46;54;46;34;68;
19.12.2020;40;57;46;43;36;86;
20.12.2020;33;42;46;46;32;68;
21.12.2020;49;46;47;42;43;73;
22.12.2020;39;44;58;39;42;76;
23.12.2020;43;50;41;36;47;90;
24.12.2020;23;46;39;49;42;72;
25.12.2020;51;46;53;53;49;98;
26.12.2020;33;49;54;50;37;80;
27.12.2020;23;36;44;36;28;73;
28.12.2020;54;30;49;44;41;89;
29.12.2020;42;41;61;43;41;57;
30.12.2020;44;45;56;41;47;55;55
31.12.2020;34;55;50;35;44;59;59
