Date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;13;15;19;11;20;24;31
02.01.2020;6;20;24;21;28;19;29
03.01.2020;5;31;38;15;20;23;29
04.01.2020;16;23;27;18;15;19;25
05.01.2020;21;24;29;11;22;18;30
06.01.2020;19;18;20;24;25;22;24
07.01.2020;12;18;13;21;28;16;28
08.01.2020;14;24;26;21;22;18;25
09.01.2020;17;18;25;22;33;19;26
10.01.2020;14;26;32;21;34;18;28
11.01.2020;16;25;23;13;29;25;27
12.01.2020;14;19;25;19;26;37;27
13.01.2020;24;27;25;18;25;29;28
14.01.2020;18;19;26;26;27;21;26
15.01.2020;18;25;34;20;40;21;32
16.01.2020;14;24;17;22;24;27;25
17.01.2020;10;15;23;14;22;20;16
18.01.2020;17;23;17;14;30;14;23
19.01.2020;22;25;25;19;25;25;21
20.01.2020;18;16;21;10;30;24;26
21.01.2020;13;25;22;23;27;29;21
22.01.2020;18;30;26;23;19;23;26
23.01.2020;21;26;14;23;29;30;27
24.01.2020;14;13;18;21;33;24;34
25.01.2020;32;34;27;21;37;26;22
26.01.2020;20;23;18;25;21;27;31
27.01.2020;24;22;18;18;25;23;14
28.01.2020;19;27;22;19;31;23;21
29.01.2020;19;29;25;19;26;27;24
30.01.2020;33;19;20;17;23;24;18
31.01.2020;14;26;18;25;20;24;24
01.02.2020;14;16;25;28;20;22;16
02.02.2020;19;19;24;22;28;21;23
03.02.2020;25;18;20;29;30;23;12
04.02.2020;15;20;18;20;29;23;21
05.02.2020;27;18;21;30;21;24;30
06.02.2020;26;20;13;23;26;22;14
07.02.2020;21;27;14;18;21;22;17
08.02.2020;19;19;23;15;29;25;30
09.02.2020;17;28;16;20;19;17;21
10.02.2020;16;20;17;24;25;19;17
11.02.2020;19;24;18;19;26;21;15
12.02.2020;21;16;22;15;26;24;18
13.02.2020;14;23;27;22;22;20;14
14.02.2020;23;13;25;30;24;22;18
15.02.2020;22;34;26;22;17;24;18
16.02.2020;17;12;28;27;21;25;17
17.02.2020;23;21;18;18;27;25;27
18.02.2020;19;15;18;20;25;24;17
19.02.2020;17;26;33;25;17;20;22
20.02.2020;14;22;22;19;21;20;19
21.02.2020;15;23;19;19;28;24;15
22.02.2020;15;17;21;18;23;25;21
23.02.2020;16;15;20;18;13;25;13
24.02.2020;21;16;22;17;22;14;18
25.02.2020;21;16;20;26;19;20;24
26.02.2020;24;13;24;22;18;14;17
27.02.2020;22;15;18;11;21;14;13
28.02.2020;15;18;21;18;23;21;27
29.02.2020;;13;;;;15;
01.03.2020;23;24;27;13;23;24;23
02.03.2020;9;24;18;20;20;13;22
03.03.2020;15;27;20;20;19;19;17
04.03.2020;15;22;27;23;14;26;21
05.03.2020;14;15;28;15;23;17;19
06.03.2020;15;22;21;23;26;16;20
07.03.2020;18;11;26;21;14;22;16
08.03.2020;29;12;21;21;25;7;18
09.03.2020;27;26;20;27;24;22;17
10.03.2020;34;22;19;17;21;15;25
11.03.2020;15;18;20;23;23;22;24
12.03.2020;20;11;19;14;17;20;16
13.03.2020;14;23;18;18;22;20;25
