date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;20;34;32;37
02.01.2020;;;;20;26;21;27
03.01.2020;;;;19;25;27;31
04.01.2020;;;;20;30;25;25
05.01.2020;;;;23;30;25;33
06.01.2020;;;;21;20;36;35
07.01.2020;;;;32;33;28;34
08.01.2020;;;;26;34;37;33
09.01.2020;;;;23;29;27;33
10.01.2020;;;;25;39;21;28
11.01.2020;;;;15;32;38;22
12.01.2020;;;;19;42;22;36
13.01.2020;;;;21;38;30;24
14.01.2020;;;;18;31;32;28
15.01.2020;;;;21;30;28;38
16.01.2020;;;;23;29;31;30
17.01.2020;;;;23;40;25;19
18.01.2020;;;;28;19;33;33
19.01.2020;;;;24;28;28;19
20.01.2020;;;;22;33;23;21
21.01.2020;;;;24;35;18;27
22.01.2020;;;;27;31;20;38
23.01.2020;;;;20;41;33;29
24.01.2020;;;;17;30;26;30
25.01.2020;;;;17;36;32;27
26.01.2020;;;;22;36;16;29
27.01.2020;;;;23;33;37;15
28.01.2020;;;;21;41;17;26
29.01.2020;;;;23;21;22;28
30.01.2020;;;;20;32;25;30
31.01.2020;;;;23;38;28;23
01.02.2020;;;;24;32;35;18
02.02.2020;;;;21;41;30;24
03.02.2020;;;;17;32;22;32
04.02.2020;;;;22;34;24;24
05.02.2020;;;;26;31;21;21
06.02.2020;;;;21;25;22;20
07.02.2020;;;;23;32;20;16
08.02.2020;;;;24;22;31;25
09.02.2020;;;;24;24;22;20
10.02.2020;;;;38;21;26;26
11.02.2020;;;;21;36;22;19
12.02.2020;;;;28;32;19;28
13.02.2020;;;;29;37;27;20
14.02.2020;;;;36;29;21;29
15.02.2020;;;;21;26;21;24
16.02.2020;;;;20;33;27;15
17.02.2020;;;;18;23;33;26
18.02.2020;;;;33;21;26;21
19.02.2020;;;;25;28;26;27
20.02.2020;;;;20;24;19;26
21.02.2020;;;;21;29;22;32
22.02.2020;;;;21;30;28;32
23.02.2020;;;;21;20;16;28
24.02.2020;;;;23;29;21;27
25.02.2020;;;;24;21;29;25
26.02.2020;;;;21;25;29;22
27.02.2020;;;;30;27;21;32
28.02.2020;;;;17;30;23;17
29.02.2020;;;;;;32;
01.03.2020;;;;20;30;23;33
02.03.2020;;;;16;30;22;34
03.03.2020;;;;26;30;24;26
04.03.2020;;;;16;37;28;21
05.03.2020;;;;10;29;37;15
06.03.2020;;;;30;24;21;29
07.03.2020;;;;21;24;31;27
08.03.2020;;;;22;21;26;26
09.03.2020;;;;26;17;18;19
10.03.2020;;;;19;24;25;32
11.03.2020;;;;19;28;22;20
12.03.2020;;;;35;33;15;20
13.03.2020;;;;16;23;18;20
14.03.2020;;;;22;28;14;27
15.03.2020;;;;27;26;10;23
16.03.2020;;;;20;21;15;17
17.03.2020;;;;21;23;13;33
18.03.2020;;;;25;24;22;28
19.03.2020;;;;23;22;25;32
20.03.2020;;;;20;29;23;35
21.03.2020;;;;36;34;28;22
22.03.2020;;;;26;25;19;20
23.03.2020;;;;20;29;22;25
24.03.2020;;;;32;26;22;20
25.03.2020;;;;16;25;26;23
26.03.2020;;;;14;21;20;21
27.03.2020;;;;29;23;32;25
28.03.2020;;;;18;27;21;29
29.03.2020;;;;19;21;27;32
30.03.2020;;;;30;25;24;29
31.03.2020;;;;18;33;25;24
01.04.2020;;;;20;31;22;34
02.04.2020;;;;22;21;21;31
03.04.2020;;;;31;19;21;24
04.04.2020;;;;26;24;16;23
05.04.2020;;;;18;20;17;23
06.04.2020;;;;27;23;28;27
07.04.2020;;;;19;20;22;28
08.04.2020;;;;15;25;18;31
09.04.2020;;;;32;14;24;33
10.04.2020;;;;30;27;21;33
11.04.2020;;;;25;17;28;25
12.04.2020;;;;26;21;12;38
13.04.2020;;;;26;20;34;32
14.04.2020;;;;19;30;30;29
15.04.2020;;;;28;18;14;17
16.04.2020;;;;17;28;25;
