date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;206;203;286;208;262;228;292
02.01.2020;200;213;296;243;237;210;271
03.01.2020;195;245;273;215;235;262;251
04.01.2020;203;245;278;231;246;257;275
05.01.2020;204;218;273;226;258;245;277
06.01.2020;209;218;277;221;276;264;276
07.01.2020;210;253;269;208;282;234;269
08.01.2020;231;223;274;205;285;260;271
09.01.2020;200;249;294;218;295;245;266
10.01.2020;192;231;299;235;268;253;242
11.01.2020;243;255;295;229;269;284;286
12.01.2020;217;236;266;227;272;227;262
13.01.2020;188;246;282;203;236;238;242
14.01.2020;214;238;247;200;303;272;251
15.01.2020;210;229;254;217;269;258;247
16.01.2020;222;233;263;224;306;259;236
17.01.2020;189;261;282;252;279;276;246
18.01.2020;200;266;275;239;273;266;255
19.01.2020;212;226;258;247;286;246;265
20.01.2020;187;247;262;221;265;253;256
21.01.2020;207;234;230;243;284;270;266
22.01.2020;169;235;257;237;262;245;257
23.01.2020;205;229;268;237;260;271;223
24.01.2020;220;245;261;227;294;244;224
25.01.2020;208;281;270;225;290;264;234
26.01.2020;194;256;267;229;288;258;268
27.01.2020;199;288;248;245;278;273;249
28.01.2020;215;284;229;233;282;269;208
29.01.2020;189;248;224;241;280;249;254
30.01.2020;222;238;215;202;273;226;232
31.01.2020;222;233;244;220;277;259;200
01.02.2020;215;272;211;248;255;222;227
02.02.2020;216;230;236;235;247;243;234
03.02.2020;183;250;212;241;253;243;229
04.02.2020;196;284;249;231;278;229;231
05.02.2020;190;253;227;229;239;248;219
06.02.2020;188;215;214;211;245;220;214
07.02.2020;206;223;246;229;285;230;205
08.02.2020;212;246;255;215;231;228;257
09.02.2020;241;230;224;235;244;205;225
10.02.2020;218;222;237;224;209;248;213
11.02.2020;222;222;205;196;226;241;226
12.02.2020;188;241;185;206;225;235;203
13.02.2020;176;203;246;204;239;223;191
14.02.2020;208;211;209;216;226;226;218
15.02.2020;173;240;237;202;220;217;241
16.02.2020;230;209;229;223;219;205;218
17.02.2020;237;217;212;207;214;219;206
18.02.2020;226;225;190;200;235;211;223
19.02.2020;207;233;229;216;239;235;240
20.02.2020;230;212;220;216;245;198;203
21.02.2020;205;195;229;196;235;220;242
22.02.2020;219;228;233;242;234;176;244
23.02.2020;240;208;208;205;199;196;242
24.02.2020;203;204;214;228;228;236;251
25.02.2020;237;204;203;208;230;208;231
26.02.2020;230;211;190;233;241;198;221
27.02.2020;213;216;198;221;241;246;214
28.02.2020;193;202;240;222;212;206;214
29.02.2020;;197;;;;218;
01.03.2020;195;185;203;230;224;195;241
02.03.2020;226;224;232;251;233;232;224
03.03.2020;213;200;203;231;195;209;252
04.03.2020;209;191;211;222;227;222;225
05.03.2020;227;187;186;199;216;204;220
06.03.2020;211;175;234;215;228;206;221
07.03.2020;215;224;213;202;218;193;213
08.03.2020;221;174;203;225;228;230;219
09.03.2020;197;209;213;227;212;196;259
10.03.2020;214;226;227;208;199;203;234
11.03.2020;237;206;190;217;214;224;212
12.03.2020;217;169;189;225;218;237;275
13.03.2020;219;184;211;205;190;218;254
14.03.2020;235;197;202;213;224;204;219
