Date;2015;2016;2017;2018;2019;2020
01.01.2020;75;84;98;89;93;103
02.01.2020;66;91;104;83;103;84
03.01.2020;68;71;104;73;104;100
04.01.2020;63;126;113;77;109;82
05.01.2020;77;82;114;75;122;88
06.01.2020;70;88;124;76;114;128
07.01.2020;74;93;103;81;119;95
08.01.2020;64;86;105;76;136;110
09.01.2020;70;94;109;65;128;85
10.01.2020;71;87;100;98;124;99
11.01.2020;73;87;112;84;116;103
12.01.2020;74;109;114;81;122;104
13.01.2020;60;91;113;69;107;96
14.01.2020;69;102;96;84;109;110
15.01.2020;69;97;98;78;131;113
16.01.2020;67;129;114;73;103;96
17.01.2020;63;89;116;77;119;92
18.01.2020;54;96;108;97;104;91
19.01.2020;52;106;106;98;109;120
20.01.2020;62;103;102;108;116;116
21.01.2020;60;90;101;80;138;118
22.01.2020;72;116;107;106;116;129
23.01.2020;69;92;103;89;101;105
24.01.2020;80;89;103;87;113;108
25.01.2020;69;107;116;95;122;116
26.01.2020;61;105;96;108;131;113
27.01.2020;73;91;106;93;109;118
28.01.2020;66;98;108;89;98;115
29.01.2020;76;91;92;100;122;119
30.01.2020;73;106;78;94;108;106
31.01.2020;78;95;105;99;115;111
01.02.2020;72;97;93;99;111;85
02.02.2020;75;110;99;91;98;94
03.02.2020;63;112;98;89;98;108
04.02.2020;77;95;88;95;114;98
05.02.2020;73;95;96;110;100;100
06.02.2020;80;84;97;91;95;105
07.02.2020;66;98;92;110;90;85
08.02.2020;78;84;62;98;84;99
09.02.2020;76;100;86;104;74;74
10.02.2020;86;74;104;90;106;97
11.02.2020;78;105;81;94;90;103
12.02.2020;74;83;86;96;104;99
13.02.2020;62;103;100;94;96;89
14.02.2020;67;92;110;89;102;84
15.02.2020;68;90;100;99;86;81
16.02.2020;74;85;92;92;82;84
17.02.2020;59;92;78;85;73;87
18.02.2020;68;91;96;81;99;92
19.02.2020;75;86;75;71;89;91
20.02.2020;81;83;93;105;103;83
21.02.2020;67;75;90;94;76;99
22.02.2020;72;67;89;85;93;92
23.02.2020;88;81;89;83;73;82
24.02.2020;71;88;81;84;90;92
25.02.2020;61;77;89;85;88;92
26.02.2020;81;75;92;94;102;84
27.02.2020;87;66;89;81;95;81
28.02.2020;71;60;101;90;87;87
29.02.2020;;73;;;;79
01.03.2020;59;76;94;81;92;66
