Date;2016;2017;2018;2019;2020
01.01.2020;12;13;22;15;22
02.01.2020;13;19;9;23;13
03.01.2020;11;17;13;22;17
04.01.2020;6;12;9;33;18
05.01.2020;24;19;15;26;11
06.01.2020;13;12;21;29;11
07.01.2020;11;10;10;11;25
08.01.2020;19;14;18;18;18
09.01.2020;12;15;25;19;22
10.01.2020;10;22;13;30;28
11.01.2020;15;16;12;12;16
12.01.2020;17;18;10;23;7
13.01.2020;15;10;13;14;20
14.01.2020;14;23;17;25;15
15.01.2020;11;13;15;19;17
16.01.2020;14;17;14;15;13
17.01.2020;8;15;16;22;19
18.01.2020;24;20;15;20;17
19.01.2020;13;22;18;13;16
20.01.2020;16;11;10;24;24
21.01.2020;15;18;16;27;19
22.01.2020;17;18;13;30;14
23.01.2020;26;14;13;11;18
24.01.2020;15;14;17;26;16
25.01.2020;17;18;17;23;17
26.01.2020;20;23;24;18;18
27.01.2020;12;27;19;12;22
28.01.2020;27;17;6;19;17
29.01.2020;18;16;15;21;17
30.01.2020;21;15;8;11;11
31.01.2020;13;20;8;20;22
01.02.2020;19;29;18;19;22
02.02.2020;22;19;9;14;14
03.02.2020;20;12;11;12;21
04.02.2020;15;17;9;18;11
05.02.2020;13;32;15;18;19
06.02.2020;17;14;14;16;17
07.02.2020;16;21;15;16;13
08.02.2020;13;14;16;14;13
09.02.2020;10;18;23;9;18
10.02.2020;17;22;29;21;20
11.02.2020;17;19;23;6;15
12.02.2020;10;12;20;16;14
13.02.2020;13;20;15;13;16
14.02.2020;14;24;18;17;13
15.02.2020;11;18;11;18;15
16.02.2020;22;12;9;20;12
17.02.2020;21;14;14;19;19
18.02.2020;7;23;13;21;14
19.02.2020;12;18;17;18;18
20.02.2020;13;14;11;17;10
21.02.2020;11;12;14;19;11
22.02.2020;14;15;17;26;22
23.02.2020;17;11;11;14;11
24.02.2020;22;23;13;24;17
25.02.2020;12;10;14;11;20
26.02.2020;16;15;9;10;14
27.02.2020;17;18;16;20;18
28.02.2020;15;20;17;18;12
29.02.2020;21;13;15;16;13
01.03.2020;15;17;18;19;19
02.03.2020;14;8;10;15;14
03.03.2020;15;15;20;21;14
04.03.2020;13;6;20;11;15
05.03.2020;12;20;16;9;15
06.03.2020;8;19;15;20;14
07.03.2020;16;19;16;17;9
08.03.2020;21;20;11;14;11
09.03.2020;13;18;10;11;15
10.03.2020;13;9;10;22;14
11.03.2020;12;14;13;11;24
12.03.2020;13;11;17;15;14
13.03.2020;13;26;18;17;24
14.03.2020;16;17;17;19;15
15.03.2020;10;9;10;15;17
16.03.2020;17;12;10;14;20
17.03.2020;20;11;9;16;11
18.03.2020;11;12;16;17;22
19.03.2020;9;16;16;15;11
20.03.2020;5;10;22;18;14
21.03.2020;8;12;15;11;28
22.03.2020;12;11;21;18;15
23.03.2020;19;17;21;15;17
24.03.2020;15;19;12;18;9
25.03.2020;14;22;21;16;23
26.03.2020;16;11;16;22;15
27.03.2020;12;16;14;10;15
28.03.2020;10;11;19;20;20
29.03.2020;12;14;13;14;12
30.03.2020;12;13;22;13;21
