date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;33;49;36;26;55;56;54
02.01.2020;29;48;32;34;38;45;50
03.01.2020;25;50;31;23;40;42;37
04.01.2020;31;49;40;36;50;36;41
05.01.2020;37;45;40;26;45;36;45
06.01.2020;48;38;43;26;43;42;38
07.01.2020;32;55;43;24;45;51;48
08.01.2020;38;60;49;35;48;48;41
09.01.2020;21;37;39;42;45;33;52
10.01.2020;23;53;32;32;44;51;36
11.01.2020;38;31;48;25;46;49;33
12.01.2020;33;54;52;44;46;48;48
13.01.2020;35;41;46;44;41;41;43
14.01.2020;34;46;41;19;57;45;38
15.01.2020;30;46;44;40;55;47;43
16.01.2020;31;46;52;33;45;44;46
17.01.2020;37;52;50;26;36;47;42
18.01.2020;28;51;38;34;39;54;42
19.01.2020;35;37;35;27;49;35;41
20.01.2020;33;44;38;25;43;28;45
21.01.2020;35;48;23;29;46;27;47
22.01.2020;28;48;40;20;41;37;47
23.01.2020;33;39;44;23;45;34;41
24.01.2020;41;46;48;33;35;47;26
25.01.2020;31;51;45;32;31;37;34
26.01.2020;29;30;44;23;38;23;46
27.01.2020;31;35;42;25;41;48;53
28.01.2020;28;36;42;19;46;48;54
29.01.2020;31;23;33;43;26;42;42
30.01.2020;38;39;44;23;50;43;43
31.01.2020;39;39;47;25;38;47;44
01.02.2020;27;40;54;27;36;42;41
02.02.2020;25;53;51;31;42;35;46
03.02.2020;23;46;43;29;37;35;38
04.02.2020;34;37;48;28;31;36;43
05.02.2020;30;39;32;28;53;47;36
06.02.2020;27;41;47;27;46;47;28
07.02.2020;28;25;55;32;48;34;37
08.02.2020;34;37;46;36;36;32;35
09.02.2020;28;35;47;25;36;44;30
10.02.2020;28;32;36;28;43;33;33
11.02.2020;31;43;44;25;46;46;44
12.02.2020;22;39;38;22;25;37;43
13.02.2020;28;27;38;20;34;44;30
14.02.2020;28;30;32;28;40;45;49
15.02.2020;29;35;38;38;38;35;28
16.02.2020;29;33;35;29;31;29;55
17.02.2020;30;43;32;10;32;17;51
18.02.2020;35;28;38;18;27;22;35
19.02.2020;35;31;36;24;37;13;37
20.02.2020;21;42;32;25;44;17;33
21.02.2020;39;35;44;22;37;12;26
22.02.2020;28;30;41;20;35;19;29
23.02.2020;27;28;45;25;46;22;34
24.02.2020;27;32;46;26;36;24;38
25.02.2020;39;27;26;19;37;17;34
26.02.2020;35;32;27;25;42;20;46
27.02.2020;24;26;39;28;50;19;29
28.02.2020;28;29;36;17;32;32;25
29.02.2020;;29;;;;53;
01.03.2020;38;29;44;35;33;42;33
02.03.2020;31;31;38;23;32;51;47
03.03.2020;28;37;45;23;32;52;26
04.03.2020;34;34;44;18;42;56;40
05.03.2020;30;44;39;28;45;45;37
06.03.2020;33;27;32;22;47;62;32
07.03.2020;23;38;46;24;33;55;38
08.03.2020;28;19;41;23;37;47;38
09.03.2020;28;26;38;29;36;44;43
10.03.2020;30;31;42;26;43;57;31
11.03.2020;19;37;36;25;46;58;36
12.03.2020;36;28;31;23;43;40;37
13.03.2020;30;45;41;19;36;48;31
14.03.2020;26;35;41;16;30;27;43
15.03.2020;25;35;40;20;36;37;38
16.03.2020;32;33;45;16;26;37;39
17.03.2020;24;30;39;26;28;49;35
18.03.2020;25;28;38;16;29;43;47
19.03.2020;39;44;21;20;33;43;39
20.03.2020;37;36;31;24;30;42;36
21.03.2020;24;39;35;18;21;47;40
22.03.2020;19;36;45;17;42;52;30
23.03.2020;31;43;25;17;48;61;43
24.03.2020;33;45;29;18;41;51;40
25.03.2020;32;44;31;23;46;34;39
26.03.2020;27;35;27;26;38;49;40
27.03.2020;31;31;33;27;28;44;46
