;2015;2016;2017;2018;2019;2020;;;
01.01.2020;235;334;265;195;315;308;;;
08.01.2020;222;318;305;239;326;315;;;
15.01.2020;229;319;277;213;313;282;;;
22.01.2020;221;284;303;175;277;274;;;
29.01.2020;216;278;320;206;259;280;;;
05.02.2020;188;252;306;201;308;283;;;
12.02.2020;200;235;252;164;227;228;;;
19.02.2020;216;226;269;164;272;124;;;
26.02.2020;183;214;230;150;221;270;;;
04.03.2020;206;221;282;168;283;368;;;
11.03.2020;193;240;273;144;245;295;;;l
18.03.2020;207;273;225;131;245;340;;;
25.03.2020;200;268;237;165;267;306;;;
01.04.2020;261;247;246;146;203;329;;;
08.04.2020;227;292;247;195;214;304;;;
15.04.2020;180;237;260;268;243;305;;;
22.04.2020;203;249;254;301;261;272;;;
29.04.2020;201;212;247;251;233;284;;;
06.05.2020;187;243;212;273;224;271;;;
13.05.2020;186;242;260;257;256;275;;;
20.05.2020;231;230;240;196;229;256;;;
27.05.2020;203;229;250;154;217;265;;;
03.06.2020;216;223;248;175;233;250;;;
10.06.2020;208;221;243;271;217;272;;;
17.06.2020;190;223;223;271;209;270;;;
24.06.2020;172;254;253;269;225;266;;;
01.07.2020;170;230;155;316;195;267;;;
08.07.2020;239;217;89;291;229;290;;;
15.07.2020;197;270;246;270;226;306;;;
22.07.2020;222;207;243;207;69;308;;;
29.07.2020;232;223;232;287;266;542;;;
05.08.2020;201;235;227;274;244;383;;;
12.08.2020;259;252;254;341;246;343;;;
19.08.2020;229;219;211;319;224;326;;;
26.08.2020;199;247;198;304;203;421;;;
02.09.2020;198;217;223;150;232;461;;;
09.09.2020;204;238;256;146;198;466;;;
16.09.2020;207;211;238;161;237;473;;;
23.09.2020;166;233;227;164;182;435;;;
30.09.2020;174;229;230;148;191;463;;;
07.10.2020;209;256;210;148;230;385;;;
14.10.2020;188;217;268;256;211;378;;;
21.10.2020;192;222;278;264;214;369;;;
28.10.2020;245;240;260;217;227;389;;;
04.11.2020;243;270;250;282;206;403;;;
11.11.2020;230;235;252;278;253;442;;;
18.11.2020;240;254;256;221;236;;;;
25.11.2020;248;243;254;148;246;;;;
02.12.2020;245;228;232;170;247;;;;
09.12.2020;265;252;263;189;253;;;;
16.12.2020;256;280;269;175;263;;;;
23.12.2020;296;253;234;281;316;;;;
30.12.2020;96;61;61;79;70;;;;
