Date;2015;2016;2017;2018;2019;2020
01.01.2020;5;2;5;2;3;4
02.01.2020;8;7;4;6;4;7
03.01.2020;4;6;6;1;7;5
04.01.2020;2;1;2;6;7;4
05.01.2020;5;4;5;8;4;3
06.01.2020;5;6;4;5;2;9
07.01.2020;5;9;9;4;7;3
08.01.2020;9;5;4;3;6;3
09.01.2020;3;8;6;5;2;4
10.01.2020;3;6;6;3;5;4
11.01.2020;2;2;7;5;8;1
12.01.2020;1;4;4;3;9;3
13.01.2020;3;11;5;3;8;9
14.01.2020;5;7;2;1;6;3
15.01.2020;2;7;2;4;4;6
16.01.2020;3;8;1;4;2;5
17.01.2020;3;4;1;3;5;4
18.01.2020;6;4;7;8;5;3
19.01.2020;4;2;2;1;5;4
20.01.2020;1;4;6;4;2;8
21.01.2020;6;4;5;4;6;3
22.01.2020;3;5;4;4;9;3
23.01.2020;5;1;3;2;3;2
24.01.2020;7;5;6;5;6;3
25.01.2020;5;6;6;3;4;5
26.01.2020;3;2;2;6;8;4
27.01.2020;1;1;4;2;8;4
28.01.2020;4;8;4;5;5;2
29.01.2020;2;6;5;4;5;6
30.01.2020;1;5;7;3;6;2
31.01.2020;7;5;5;3;3;4
01.02.2020;4;2;7;4;2;3
02.02.2020;3;4;4;9;2;3
03.02.2020;2;9;5;4;5;4
04.02.2020;3;;6;3;6;8
05.02.2020;2;4;7;1;3;4
06.02.2020;5;3;4;5;2;2
07.02.2020;2;2;2;5;4;6
08.02.2020;5;3;7;1;4;6
09.02.2020;6;2;2;3;3;5
10.02.2020;6;2;5;2;8;
11.02.2020;8;2;6;5;2;6
12.02.2020;3;6;4;9;6;5
13.02.2020;4;9;3;2;3;4
14.02.2020;2;7;1;6;2;5
15.02.2020;3;3;5;7;2;3
16.02.2020;4;4;4;7;3;7
17.02.2020;3;3;7;2;5;2
18.02.2020;3;3;5;5;2;
19.02.2020;4;2;5;1;7;7
20.02.2020;1;7;5;2;2;3
21.02.2020;4;4;6;2;5;4
22.02.2020;3;3;4;6;4;7
23.02.2020;;1;4;4;4;3
24.02.2020;6;4;2;4;5;3
25.02.2020;5;3;7;9;7;3
26.02.2020;6;4;3;5;;1
27.02.2020;5;3;4;3;4;6
28.02.2020;1;6;1;2;5;6
29.02.2020;;6;;;;10
01.03.2020;5;7;3;4;4;2
02.03.2020;2;4;5;11;3;2
03.03.2020;5;5;3;8;2;3
04.03.2020;3;2;6;6;5;1
05.03.2020;6;7;2;2;5;4
06.03.2020;4;5;2;2;5;2
07.03.2020;4;3;2;3;5;3
08.03.2020;3;3;5;4;4;2
09.03.2020;2;2;1;6;2;4
10.03.2020;6;8;4;8;5;3
11.03.2020;4;2;3;2;1;5
12.03.2020;5;5;4;4;1;5
13.03.2020;1;2;3;4;7;8
14.03.2020;2;2;8;1;6;8
15.03.2020;4;4;4;5;3;6
16.03.2020;3;6;7;4;4;3
17.03.2020;1;4;3;5;1;3
18.03.2020;2;4;3;6;1;5
