date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;4;10;19;27
02.01.2020;;;;11;10;19;16
03.01.2020;;;;9;21;16;17
04.01.2020;;;;4;9;14;16
05.01.2020;;;;6;15;16;23
06.01.2020;;;;5;14;10;21
07.01.2020;;;;7;21;17;15
08.01.2020;;;;8;14;12;31
09.01.2020;;;;6;14;15;19
10.01.2020;;;;10;18;15;25
11.01.2020;;;;3;23;19;14
12.01.2020;;;;6;10;12;21
13.01.2020;;;;7;22;14;19
14.01.2020;;;;7;15;20;15
15.01.2020;;;;10;20;24;12
16.01.2020;;;;7;17;17;16
17.01.2020;;;;7;20;14;18
18.01.2020;;;;7;15;17;15
19.01.2020;;;;7;22;18;13
20.01.2020;;;;6;19;12;22
21.01.2020;;;;2;14;24;12
22.01.2020;;;;12;25;21;19
23.01.2020;;;;7;16;12;15
24.01.2020;;;;10;11;19;14
25.01.2020;;;;19;21;15;18
26.01.2020;;;;14;21;17;15
27.01.2020;;;;12;15;17;22
28.01.2020;;;;14;18;18;23
29.01.2020;;;;13;23;16;21
30.01.2020;;;;13;18;19;13
31.01.2020;;;;19;13;18;16
01.02.2020;;;;15;19;23;14
02.02.2020;;;;14;17;17;17
03.02.2020;;;;11;12;14;16
04.02.2020;;;;19;26;22;13
05.02.2020;;;;11;21;12;16
06.02.2020;;;;20;18;12;14
07.02.2020;;;;16;12;11;12
08.02.2020;;;;11;14;19;17
09.02.2020;;;;15;17;18;13
10.02.2020;;;;14;17;21;7
11.02.2020;;;;18;13;16;10
12.02.2020;;;;12;14;15;22
13.02.2020;;;;14;17;14;14
14.02.2020;;;;12;15;18;18
15.02.2020;;;;10;19;12;11
16.02.2020;;;;12;17;16;12
17.02.2020;;;;15;16;26;21
18.02.2020;;;;9;22;11;16
19.02.2020;;;;8;29;10;18
20.02.2020;;;;11;14;15;9
21.02.2020;;;;19;12;15;14
22.02.2020;;;;12;20;14;16
23.02.2020;;;;16;9;16;22
24.02.2020;;;;8;14;15;22
25.02.2020;;;;13;16;11;13
26.02.2020;;;;16;16;10;13
27.02.2020;;;;18;22;17;17
28.02.2020;;;;12;19;12;8
29.02.2020;;;;;;14;
01.03.2020;;;;14;22;21;9
02.03.2020;;;;14;13;13;22
03.03.2020;;;;15;12;14;19
04.03.2020;;;;14;8;15;23
05.03.2020;;;;11;16;15;17
06.03.2020;;;;14;16;20;18
07.03.2020;;;;13;16;16;17
08.03.2020;;;;11;17;16;13
09.03.2020;;;;14;11;20;16
10.03.2020;;;;10;9;16;18
11.03.2020;;;;21;15;24;22
12.03.2020;;;;18;16;13;24
13.03.2020;;;;14;13;21;16
14.03.2020;;;;11;21;11;15
15.03.2020;;;;17;16;16;17
16.03.2020;;;;18;17;20;15
17.03.2020;;;;20;15;9;13
18.03.2020;;;;10;15;12;13
19.03.2020;;;;15;12;20;14
20.03.2020;;;;14;15;19;17
21.03.2020;;;;11;13;9;14
22.03.2020;;;;11;14;12;13
23.03.2020;;;;15;13;18;13
24.03.2020;;;;13;13;14;
25.03.2020;;;;13;12;15;
26.03.2020;;;;16;11;14;
27.03.2020;;;;22;13;11;
28.03.2020;;;;17;15;13;
29.03.2020;;;;11;11;9;
30.03.2020;;;;11;16;15;
31.03.2020;;;;12;22;17;
01.04.2020;;;;7;15;9;
02.04.2020;;;;14;15;7;
03.04.2020;;;;13;19;13;
04.04.2020;;;;12;18;12;
05.04.2020;;;;10;12;9;
06.04.2020;;;;19;21;15;
07.04.2020;;;;13;16;16;
08.04.2020;;;;23;7;18;
09.04.2020;;;;16;11;10;
10.04.2020;;;;14;15;13;
11.04.2020;;;;15;19;15;
12.04.2020;;;;18;21;15;
13.04.2020;;;;25;18;9;
14.04.2020;;;;18;15;13;
15.04.2020;;;;15;11;11;
16.04.2020;;;;15;16;13;
17.04.2020;;;;13;16;17;
18.04.2020;;;;8;17;13;
19.04.2020;;;;16;16;10;
20.04.2020;;;;16;16;8;
21.04.2020;;;;8;8;19;
22.04.2020;;;;13;8;13;
23.04.2020;;;;13;14;17;
24.04.2020;;;;15;11;18;
25.04.2020;;;;11;21;14;
26.04.2020;;;;16;15;13;
27.04.2020;;;;13;14;13;
28.04.2020;;;;11;10;14;
29.04.2020;;;;13;13;15;
30.04.2020;;;;18;24;16;
01.05.2020;;;;10;11;13;
02.05.2020;;;;9;9;7;
03.05.2020;;;;11;14;16;
04.05.2020;;;;12;11;14;
05.05.2020;;;;13;18;18;
06.05.2020;;;;12;14;15;
07.05.2020;;;;13;14;9;
08.05.2020;;;;11;11;14;
09.05.2020;;;;12;13;15;
10.05.2020;;;;16;17;7;
11.05.2020;;;;22;16;17;
12.05.2020;;;;22;13;8;
13.05.2020;;;;10;11;17;
14.05.2020;;;;10;14;12;
15.05.2020;;;;15;14;13;
16.05.2020;;;;15;20;15;
17.05.2020;;;;11;15;10;
18.05.2020;;;;10;16;14;
19.05.2020;;;;21;17;10;
20.05.2020;;;;7;9;13;
21.05.2020;;;;12;14;11;
22.05.2020;;;;15;15;12;
23.05.2020;;;;15;18;17;
24.05.2020;;;;7;12;11;
25.05.2020;;;;19;12;6;
26.05.2020;;;;14;9;13;
27.05.2020;;;;11;13;8;
28.05.2020;;;;13;19;16;
29.05.2020;;;;10;10;15;
30.05.2020;;;;15;10;10;
31.05.2020;;;;13;12;11;
01.06.2020;;;;15;19;15;
02.06.2020;;;;16;12;5;
03.06.2020;;;;6;20;12;
04.06.2020;;;;18;12;11;
05.06.2020;;;;18;18;11;
06.06.2020;;;;11;12;12;
07.06.2020;;;;26;13;11;
08.06.2020;;;;8;15;12;
09.06.2020;;;;15;11;10;
10.06.2020;;;;15;9;23;
11.06.2020;;;;15;18;17;
12.06.2020;;;;22;17;14;
