Date;2017;2018;2019;2020
01.01.2020;3;;4;3
02.01.2020;4;3;5;6
03.01.2020;5;4;1;3
04.01.2020;3;5;5;2
05.01.2020;2;2;3;4
06.01.2020;2;2;;3
07.01.2020;4;4;1;3
08.01.2020;5;4;5;6
09.01.2020;6;3;1;6
10.01.2020;3;2;;2
11.01.2020;3;1;3;4
12.01.2020;3;4;2;1
13.01.2020;4;4;3;5
14.01.2020;2;4;4;3
15.01.2020;4;3;1;5
16.01.2020;2;4;4;5
17.01.2020;2;2;4;5
18.01.2020;4;3;4;4
19.01.2020;1;6;1;4
20.01.2020;3;2;5;2
21.01.2020;6;5;1;2
22.01.2020;1;3;4;5
23.01.2020;4;2;4;4
24.01.2020;3;1;11;2
25.01.2020;3;3;3;4
26.01.2020;2;2;2;1
27.01.2020;;4;1;3
28.01.2020;4;5;6;4
29.01.2020;4;2;8;4
30.01.2020;3;2;4;1
31.01.2020;7;3;7;2
01.02.2020;5;4;7;1
02.02.2020;;6;;4
03.02.2020;3;2;;4
04.02.2020;2;7;4;6
05.02.2020;2;4;7;2
06.02.2020;2;6;5;2
07.02.2020;6;3;3;2
08.02.2020;5;1;7;1
09.02.2020;6;1;2;3
10.02.2020;6;3;3;4
11.02.2020;3;4;2;5
12.02.2020;5;4;4;2
13.02.2020;;6;4;1
14.02.2020;1;5;2;2
15.02.2020;3;3;1;5
16.02.2020;2;7;1;2
17.02.2020;4;4;6;2
18.02.2020;1;3;2;6
19.02.2020;2;3;3;4
20.02.2020;3;5;3;5
21.02.2020;4;4;;3
22.02.2020;2;5;3;5
23.02.2020;;1;4;2
24.02.2020;5;3;3;1
25.02.2020;9;2;5;1
26.02.2020;4;3;5;4
27.02.2020;3;3;2;5
28.02.2020;1;2;3;1
29.02.2020;;;;3
01.03.2020;2;4;3;1
02.03.2020;2;1;6;2
03.03.2020;1;3;5;3
04.03.2020;1;3;1;1
05.03.2020;3;4;4;4
06.03.2020;4;3;4;4
07.03.2020;2;1;3;
08.03.2020;6;1;4;3
09.03.2020;4;1;2;5
10.03.2020;4;4;6;2
11.03.2020;3;2;2;2
12.03.2020;2;;2;2
13.03.2020;1;3;4;8
14.03.2020;2;4;4;3
15.03.2020;2;;2;4
16.03.2020;2;3;1;1
17.03.2020;2;3;1;7
18.03.2020;2;6;1;2
19.03.2020;3;3;4;
20.03.2020;1;2;2;2
21.03.2020;4;3;4;3
22.03.2020;1;2;1;1
23.03.2020;1;1;2;
24.03.2020;5;10;4;
25.03.2020;8;5;4;1
26.03.2020;2;4;2;1
27.03.2020;1;5;3;3
28.03.2020;4;1;1;3
29.03.2020;6;7;1;1
30.03.2020;1;1;4;6
31.03.2020;2;5;4;1
01.04.2020;3;1;5;2
02.04.2020;2;2;6;1
03.04.2020;6;3;1;2
04.04.2020;4;7;3;2
05.04.2020;6;5;2;1
06.04.2020;5;4;2;2
07.04.2020;3;1;2;7
08.04.2020;;2;5;1
09.04.2020;3;5;1;1
10.04.2020;2;1;1;
11.04.2020;2;3;1;
12.04.2020;3;1;2;
13.04.2020;4;4;2;
14.04.2020;4;1;3;2
15.04.2020;2;3;2;
16.04.2020;1;4;2;
17.04.2020;3;1;1;
18.04.2020;4;4;5;1
19.04.2020;1;2;2;
20.04.2020;6;3;6;1
21.04.2020;6;2;5;
22.04.2020;4;5;1;
23.04.2020;1;4;1;
24.04.2020;2;6;5;2
25.04.2020;1;4;3;1
