date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;6;10;8;8
02.01.2020;;;;7;4;6;8
03.01.2020;;;;4;12;12;12
04.01.2020;;;;7;14;8;10
05.01.2020;;;;9;8;7;13
06.01.2020;;;;4;11;7;6
07.01.2020;;;;13;5;6;9
08.01.2020;;;;4;10;11;13
09.01.2020;;;;5;10;7;12
10.01.2020;;;;7;8;6;8
11.01.2020;;;;9;10;15;11
12.01.2020;;;;7;7;11;7
13.01.2020;;;;7;12;8;6
14.01.2020;;;;10;15;7;9
15.01.2020;;;;5;10;5;12
16.01.2020;;;;8;22;10;9
17.01.2020;;;;9;10;8;9
18.01.2020;;;;6;10;11;13
19.01.2020;;;;6;10;9;12
20.01.2020;;;;8;12;9;19
21.01.2020;;;;9;8;6;7
22.01.2020;;;;6;7;8;19
23.01.2020;;;;6;11;5;13
24.01.2020;;;;7;4;23;11
25.01.2020;;;;3;10;18;5
26.01.2020;;;;4;8;10;6
27.01.2020;;;;9;8;6;13
28.01.2020;;;;10;15;4;10
29.01.2020;;;;5;5;7;11
30.01.2020;;;;6;9;2;9
31.01.2020;;;;3;8;11;10
01.02.2020;;;;5;9;8;8
02.02.2020;;;;3;10;9;9
03.02.2020;;;;2;11;4;8
04.02.2020;;;;6;8;4;9
05.02.2020;;;;11;6;5;8
06.02.2020;;;;9;3;9;13
07.02.2020;;;;10;10;7;
08.02.2020;;;;7;11;5;5
09.02.2020;;;;7;5;8;10
10.02.2020;;;;7;7;8;5
11.02.2020;;;;5;10;11;12
12.02.2020;;;;5;4;5;6
13.02.2020;;;;9;8;6;10
14.02.2020;;;;6;5;8;9
15.02.2020;;;;4;6;10;8
16.02.2020;;;;14;5;9;10
17.02.2020;;;;4;7;4;14
18.02.2020;;;;6;6;9;10
19.02.2020;;;;10;10;11;10
20.02.2020;;;;12;8;5;4
21.02.2020;;;;6;8;8;5
22.02.2020;;;;12;5;8;8
23.02.2020;;;;4;8;8;8
24.02.2020;;;;8;13;5;6
25.02.2020;;;;11;9;6;9
26.02.2020;;;;5;9;5;11
27.02.2020;;;;7;7;8;8
28.02.2020;;;;3;7;10;10
29.02.2020;;;;;;8;
01.03.2020;;;;6;7;5;5
02.03.2020;;;;8;7;9;16
03.03.2020;;;;4;9;11;7
04.03.2020;;;;5;8;11;11
