Date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;12;12;9;9;15;14;8
02.01.2020;9;16;12;18;20;15;17
03.01.2020;10;10;13;10;15;13;9
04.01.2020;6;10;14;15;14;9;15
05.01.2020;14;15;12;12;14;11;17
06.01.2020;9;10;9;14;16;23;17
07.01.2020;12;12;12;7;20;7;15
08.01.2020;13;14;12;16;11;16;15
09.01.2020;13;22;16;13;16;8;19
10.01.2020;14;9;12;17;12;16;10
11.01.2020;11;15;13;17;14;9;16
12.01.2020;10;15;9;16;17;15;6
13.01.2020;16;25;20;19;16;12;16
14.01.2020;13;18;6;16;13;14;19
15.01.2020;21;16;13;22;17;13;17
16.01.2020;11;10;10;13;17;12;9
17.01.2020;7;14;16;10;17;13;15
18.01.2020;10;17;9;14;12;16;9
19.01.2020;12;21;12;10;17;12;12
20.01.2020;9;18;13;14;12;16;18
21.01.2020;16;13;13;8;24;19;17
22.01.2020;17;17;13;18;14;13;17
23.01.2020;16;7;12;20;16;21;10
24.01.2020;10;15;22;14;24;15;8
25.01.2020;10;21;21;19;10;12;7
26.01.2020;13;19;16;16;17;21;19
27.01.2020;10;18;13;16;16;13;15
28.01.2020;9;14;14;14;12;17;14
29.01.2020;16;19;14;13;15;15;17
30.01.2020;14;12;16;20;12;12;15
31.01.2020;13;13;13;21;9;10;10
01.02.2020;7;15;11;11;17;11;20
02.02.2020;13;13;13;13;12;12;8
03.02.2020;15;13;20;12;13;16;19
04.02.2020;7;16;8;9;15;10;10
05.02.2020;9;13;12;12;15;9;15
06.02.2020;9;8;19;17;20;17;13
07.02.2020;19;9;9;11;11;15;6
08.02.2020;18;10;16;13;16;17;10
09.02.2020;10;9;7;11;11;10;5
10.02.2020;17;17;13;16;12;19;14
11.02.2020;19;9;15;7;18;13;13
12.02.2020;16;10;13;23;13;13;9
13.02.2020;17;11;16;11;6;11;8
14.02.2020;8;12;14;12;13;9;7
15.02.2020;9;19;12;10;10;13;10
16.02.2020;10;9;9;11;13;7;14
17.02.2020;16;12;12;7;12;20;17
18.02.2020;7;11;7;14;18;9;17
19.02.2020;12;10;7;18;15;13;10
20.02.2020;9;13;11;17;8;9;8
21.02.2020;13;7;15;5;11;10;17
22.02.2020;9;15;17;8;12;9;9
23.02.2020;13;4;10;13;11;13;4
24.02.2020;18;14;8;10;9;17;11
25.02.2020;12;12;10;11;13;16;9
26.02.2020;15;7;7;11;8;8;14
27.02.2020;9;9;9;10;14;16;15
28.02.2020;13;8;10;13;18;8;
29.02.2020;;10;;;;8;
01.03.2020;10;20;9;10;11;13;
02.03.2020;19;11;15;9;13;9;
03.03.2020;17;10;9;10;8;8;
04.03.2020;12;8;10;12;15;14;
05.03.2020;16;16;16;12;18;4;
06.03.2020;14;9;9;11;11;13;
07.03.2020;7;9;13;14;15;10;
08.03.2020;9;20;15;7;10;10;
09.03.2020;25;14;14;10;11;9;
10.03.2020;13;7;13;12;14;13;
11.03.2020;18;12;7;10;14;20;
12.03.2020;13;16;7;5;24;16;
13.03.2020;11;6;18;12;12;12;
14.03.2020;12;9;18;12;11;9;
15.03.2020;13;15;13;12;18;13;
16.03.2020;19;13;14;12;10;13;
17.03.2020;12;10;8;11;9;8;
18.03.2020;12;9;13;12;12;13;
19.03.2020;19;9;7;14;9;9;
20.03.2020;21;6;9;4;8;10;
21.03.2020;16;15;7;11;10;15;
22.03.2020;10;13;13;18;11;17;
23.03.2020;24;9;9;9;11;17;
24.03.2020;15;19;15;12;14;14;
25.03.2020;20;16;11;6;22;11;
26.03.2020;17;8;6;16;17;15;
27.03.2020;14;12;17;8;13;8;
28.03.2020;12;10;14;12;11;9;
29.03.2020;9;17;16;18;15;17;
30.03.2020;15;18;15;13;10;15;
31.03.2020;11;9;16;7;12;13;
01.04.2020;12;15;9;11;10;5;
02.04.2020;19;17;11;12;16;7;
03.04.2020;15;10;11;8;14;10;
04.04.2020;7;14;10;10;13;7;
05.04.2020;9;13;13;11;15;14;
06.04.2020;15;9;14;21;11;10;
