date;2017;2018;2019;2020
01.01.2020;4;5;0;0
02.01.2020;2;3;1;3
03.01.2020;0;3;1;1
04.01.2020;1;1;0;5
05.01.2020;3;5;0;3
06.01.2020;1;3;1;4
07.01.2020;2;2;3;0
08.01.2020;1;3;4;3
09.01.2020;0;3;0;2
10.01.2020;2;3;3;2
11.01.2020;0;1;0;2
12.01.2020;2;2;2;4
13.01.2020;1;2;1;2
14.01.2020;0;6;2;3
15.01.2020;2;3;2;1
16.01.2020;1;2;2;3
17.01.2020;5;7;2;4
18.01.2020;3;1;2;1
19.01.2020;2;1;2;0
20.01.2020;3;3;2;2
21.01.2020;3;1;5;1
22.01.2020;1;2;2;1
23.01.2020;1;2;5;2
24.01.2020;3;1;3;2
25.01.2020;3;4;2;1
26.01.2020;2;1;2;2
27.01.2020;0;2;0;2
28.01.2020;1;2;5;1
29.01.2020;3;0;1;1
30.01.2020;1;3;6;5
31.01.2020;2;3;3;2
01.02.2020;1;0;5;4
02.02.2020;0;1;5;3
03.02.2020;0;2;3;3
04.02.2020;2;2;3;4
05.02.2020;3;4;2;2
06.02.2020;2;1;3;4
07.02.2020;2;4;6;4
08.02.2020;2;1;5;2
09.02.2020;1;1;1;1
10.02.2020;3;1;2;3
11.02.2020;1;2;4;3
12.02.2020;2;1;2;1
13.02.2020;2;1;1;4
14.02.2020;1;0;3;2
15.02.2020;6;3;4;0
16.02.2020;1;0;3;4
17.02.2020;3;3;1;4
18.02.2020;1;1;1;2
19.02.2020;2;2;2;1
20.02.2020;2;3;5;1
21.02.2020;4;2;1;2
22.02.2020;0;2;4;0
23.02.2020;1;2;4;3
24.02.2020;2;3;0;0
25.02.2020;0;5;2;2
26.02.2020;0;4;5;1
27.02.2020;1;0;1;3
28.02.2020;1;4;0;1
29.02.2020;1;0;0;1
01.03.2020;2;4;2;4
02.03.2020;1;1;1;4
03.03.2020;2;0;2;3
04.03.2020;2;3;1;3
05.03.2020;0;2;3;0
06.03.2020;1;1;3;0
07.03.2020;0;4;2;2
08.03.2020;0;1;2;2
09.03.2020;1;2;3;2
10.03.2020;3;1;2;0
11.03.2020;1;5;3;2
12.03.2020;5;1;5;1
13.03.2020;0;1;5;7
14.03.2020;3;1;4;0
15.03.2020;2;2;2;1
16.03.2020;3;2;3;0
17.03.2020;3;2;2;2
18.03.2020;3;1;2;3
19.03.2020;3;2;1;2
20.03.2020;3;3;2;2
21.03.2020;3;4;0;3
22.03.2020;1;2;5;2
23.03.2020;2;1;2;4
24.03.2020;1;2;2;1
25.03.2020;3;1;2;0
26.03.2020;2;0;1;1
27.03.2020;4;2;5;6
28.03.2020;2;1;3;2
29.03.2020;1;3;4;1
30.03.2020;6;1;2;1
31.03.2020;3;3;3;3
01.04.2020;5;3;2;2
02.04.2020;0;1;1;2
03.04.2020;3;4;2;1
04.04.2020;1;4;3;2
05.04.2020;0;1;5;4
06.04.2020;1;1;2;2
07.04.2020;2;4;0;1
08.04.2020;6;1;0;3
09.04.2020;1;2;3;5
10.04.2020;3;0;6;3
11.04.2020;2;4;0;5
12.04.2020;3;5;0;2
13.04.2020;4;1;5;4
14.04.2020;2;4;1;2
15.04.2020;0;3;1;5
16.04.2020;4;2;0;3
17.04.2020;3;5;1;3
18.04.2020;1;0;3;0
19.04.2020;4;0;3;3
20.04.2020;1;1;0;2
21.04.2020;1;4;2;2
22.04.2020;1;1;2;2
23.04.2020;3;2;2;3
24.04.2020;2;4;3;3
25.04.2020;4;1;4;1
26.04.2020;2;0;3;1
27.04.2020;0;3;0;2
28.04.2020;4;1;1;3
29.04.2020;3;1;2;1
30.04.2020;2;4;0;4
01.05.2020;1;1;4;2
02.05.2020;2;2;3;2
03.05.2020;2;2;2;4
04.05.2020;0;5;2;1
05.05.2020;1;2;4;3
06.05.2020;2;0;2;2
07.05.2020;1;3;6;1
08.05.2020;0;4;1;4
09.05.2020;0;6;2;1
10.05.2020;6;0;2;1
11.05.2020;3;1;3;3
