date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;4;4;8;5;14;12;11
02.01.2020;7;7;10;10;7;8;9
03.01.2020;9;9;12;7;10;11;8
04.01.2020;6;15;12;7;7;13;8
05.01.2020;7;10;13;9;9;14;10
06.01.2020;8;7;7;10;7;13;13
07.01.2020;7;11;10;4;10;6;15
08.01.2020;2;12;7;7;10;8;10
09.01.2020;8;14;7;6;9;10;7
10.01.2020;9;5;8;7;6;10;6
11.01.2020;9;9;6;7;10;11;4
12.01.2020;10;13;13;7;8;11;13
13.01.2020;10;6;4;7;11;10;4
14.01.2020;8;11;10;5;9;6;8
15.01.2020;3;12;7;7;12;8;12
16.01.2020;4;15;6;9;6;7;5
17.01.2020;6;9;7;9;15;6;8
18.01.2020;4;8;7;7;9;10;8
19.01.2020;10;14;8;6;8;8;9
20.01.2020;9;9;9;8;5;6;10
21.01.2020;2;10;7;6;12;3;10
22.01.2020;6;10;9;3;13;6;8
23.01.2020;3;13;4;6;8;9;6
24.01.2020;5;11;3;8;6;7;5
25.01.2020;8;7;5;7;13;6;11
26.01.2020;8;13;6;12;9;5;10
27.01.2020;6;12;13;8;8;8;15
28.01.2020;10;15;10;13;4;5;5
29.01.2020;11;6;10;10;9;9;7
30.01.2020;8;5;11;12;9;14;11
31.01.2020;8;4;6;10;7;6;12
01.02.2020;8;7;5;5;9;2;7
02.02.2020;15;9;7;7;3;10;8
03.02.2020;8;12;10;8;7;3;13
04.02.2020;8;7;9;10;6;12;8
05.02.2020;10;9;4;7;8;13;9
06.02.2020;8;11;10;10;6;9;9
07.02.2020;13;7;10;9;11;6;7
08.02.2020;10;2;5;6;10;8;9
09.02.2020;6;6;6;6;5;5;4
10.02.2020;11;6;10;6;6;4;11
11.02.2020;8;9;9;8;4;10;4
12.02.2020;5;7;3;9;8;6;9
13.02.2020;7;10;7;7;11;7;8
14.02.2020;7;5;7;10;3;9;5
15.02.2020;10;6;5;8;10;12;14
16.02.2020;7;11;11;9;4;6;11
17.02.2020;3;7;13;5;5;4;9
18.02.2020;7;16;6;8;8;9;9
19.02.2020;8;6;15;9;5;9;10
20.02.2020;7;9;6;8;8;5;8
21.02.2020;8;5;8;4;8;12;7
22.02.2020;6;3;9;5;6;4;13
23.02.2020;7;4;13;3;5;13;3
24.02.2020;7;8;6;18;8;5;5
25.02.2020;14;10;6;6;6;8;8
26.02.2020;4;9;8;3;6;7;3
27.02.2020;5;4;5;4;5;10;8
28.02.2020;6;9;6;7;5;8;10
29.02.2020;;9;;;;9;
01.03.2020;4;5;10;7;8;5;8
02.03.2020;5;4;9;5;6;6;11
03.03.2020;13;14;5;5;9;6;14
04.03.2020;7;4;9;7;1;7;9
05.03.2020;8;11;14;5;15;3;12
06.03.2020;5;8;6;4;6;7;14
07.03.2020;5;6;4;6;9;9;7
08.03.2020;8;9;8;10;11;6;8
09.03.2020;10;5;7;4;6;10;12
10.03.2020;13;4;11;7;7;6;7
11.03.2020;2;5;7;5;4;4;12
12.03.2020;10;5;7;8;7;3;9
13.03.2020;11;3;6;4;5;11;10
14.03.2020;12;7;6;11;6;8;9
15.03.2020;9;7;11;9;14;4;11
16.03.2020;6;6;10;6;5;10;8
17.03.2020;5;5;8;9;11;6;8
18.03.2020;11;7;1;11;7;8;7
19.03.2020;9;9;4;5;6;6;5
20.03.2020;6;8;7;5;6;7;10
21.03.2020;12;8;2;8;8;4;7
22.03.2020;8;9;6;5;7;11;8
23.03.2020;12;9;6;11;5;11;8
24.03.2020;10;7;6;6;2;9;7
25.03.2020;9;3;6;5;9;9;20
26.03.2020;7;6;9;9;7;9;13
27.03.2020;6;5;10;9;5;10;12
28.03.2020;7;7;8;8;6;10;12
29.03.2020;4;7;8;4;8;7;6
30.03.2020;8;7;1;6;6;2;6
31.03.2020;9;7;5;6;4;13;12
01.04.2020;12;9;4;7;5;14;7
02.04.2020;6;3;7;5;5;6;11
03.04.2020;6;3;4;7;5;12;7
04.04.2020;8;7;9;10;5;13;12
05.04.2020;5;11;11;8;8;11;9
06.04.2020;5;7;9;10;7;13;12
07.04.2020;6;7;15;6;5;7;6
08.04.2020;8;4;9;6;7;4;10
09.04.2020;5;4;8;3;2;7;10
10.04.2020;11;8;9;4;12;13;5
11.04.2020;12;10;7;5;11;6;5
12.04.2020;5;5;9;7;11;7;6
13.04.2020;9;6;7;7;11;11;8
14.04.2020;8;6;11;7;5;8;10
15.04.2020;10;19;6;12;2;11;6
16.04.2020;8;9;6;10;7;7;6
17.04.2020;13;10;5;5;5;10;
18.04.2020;4;2;5;9;4;7;
19.04.2020;6;5;6;4;10;1;
20.04.2020;5;8;8;10;9;13;
21.04.2020;5;8;5;7;4;10;
22.04.2020;7;3;11;5;10;7;
23.04.2020;11;6;7;4;11;11;
24.04.2020;5;8;10;5;7;6;
25.04.2020;9;5;8;7;7;4;
26.04.2020;8;5;2;7;12;4;
27.04.2020;9;7;5;11;6;6;
28.04.2020;9;6;7;4;5;3;
29.04.2020;10;7;7;1;4;4;
30.04.2020;13;11;7;10;5;5;
01.05.2020;4;12;6;4;8;3;
02.05.2020;5;7;5;9;9;4;
03.05.2020;4;6;4;10;8;7;
04.05.2020;4;10;11;10;9;9;
05.05.2020;5;4;7;7;4;10;
06.05.2020;8;11;5;8;6;11;
07.05.2020;5;5;7;5;9;6;
08.05.2020;6;11;9;3;7;13;
09.05.2020;13;6;16;12;7;3;
10.05.2020;4;7;6;10;3;8;
11.05.2020;8;7;3;10;4;8;
12.05.2020;4;6;9;7;7;6;
13.05.2020;5;9;4;10;8;6;
14.05.2020;11;4;7;4;7;9;
15.05.2020;10;8;10;2;7;11;
16.05.2020;9;7;11;7;6;3;
17.05.2020;5;10;8;7;6;12;
18.05.2020;13;9;6;10;10;1;
19.05.2020;8;8;4;2;7;6;
20.05.2020;5;7;5;9;7;4;
21.05.2020;9;7;10;12;12;10;
22.05.2020;10;4;5;6;10;11;
23.05.2020;6;11;5;6;8;6;
24.05.2020;16;14;6;7;6;8;
25.05.2020;3;5;3;4;4;8;
26.05.2020;8;8;5;8;5;6;
27.05.2020;7;8;8;4;7;9;
