date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;22;37;25;36
02.01.2020;;;;29;35;41;35
03.01.2020;;;;26;31;37;25
04.01.2020;;;;27;27;25;24
05.01.2020;;;;36;30;33;43
06.01.2020;;;;25;29;31;27
07.01.2020;;;;21;28;25;37
08.01.2020;;;;19;29;35;29
09.01.2020;;;;24;32;26;42
10.01.2020;;;;26;37;39;27
11.01.2020;;;;31;39;43;38
12.01.2020;;;;24;20;30;35
13.01.2020;;;;19;24;33;49
14.01.2020;;;;33;28;47;25
15.01.2020;;;;24;35;34;24
16.01.2020;;;;30;34;38;23
17.01.2020;;;;21;35;38;27
18.01.2020;;;;26;44;22;45
19.01.2020;;;;24;39;33;35
20.01.2020;;;;26;34;34;32
21.01.2020;;;;21;31;34;40
22.01.2020;;;;29;47;43;26
23.01.2020;;;;39;39;32;37
24.01.2020;;;;28;33;30;28
25.01.2020;;;;22;46;33;39
26.01.2020;;;;22;29;32;27
27.01.2020;;;;22;30;25;30
28.01.2020;;;;25;34;40;29
29.01.2020;;;;25;37;42;40
30.01.2020;;;;24;33;30;20
31.01.2020;;;;21;31;35;20
01.02.2020;;;;24;27;26;34
02.02.2020;;;;17;28;22;29
03.02.2020;;;;21;31;25;36
04.02.2020;;;;22;43;25;30
05.02.2020;;;;26;41;44;26
06.02.2020;;;;35;27;32;26
07.02.2020;;;;31;27;35;28
08.02.2020;;;;24;29;30;45
09.02.2020;;;;31;32;27;33
10.02.2020;;;;28;27;35;42
11.02.2020;;;;29;32;26;40
12.02.2020;;;;24;27;24;26
13.02.2020;;;;24;28;20;25
14.02.2020;;;;28;29;30;20
15.02.2020;;;;25;30;30;28
16.02.2020;;;;33;21;23;28
17.02.2020;;;;30;26;27;30
18.02.2020;;;;18;19;26;27
19.02.2020;;;;23;22;25;31
20.02.2020;;;;32;23;31;29
21.02.2020;;;;33;28;27;30
22.02.2020;;;;19;25;21;20
23.02.2020;;;;28;29;34;24
24.02.2020;;;;18;26;20;27
25.02.2020;;;;16;21;34;26
26.02.2020;;;;29;35;28;36
27.02.2020;;;;24;38;24;28
28.02.2020;;;;22;26;38;25
