date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;7;27;18;8;14;14;14
02.01.2020;9;22;18;21;30;13;14
03.01.2020;17;14;16;9;20;17;10
04.01.2020;12;18;16;11;18;19;21
05.01.2020;8;29;24;19;22;12;28
06.01.2020;17;25;17;26;13;20;18
07.01.2020;17;11;27;11;15;17;19
08.01.2020;16;20;16;12;12;20;22
09.01.2020;16;15;17;17;23;21;24
10.01.2020;12;18;17;20;24;27;19
11.01.2020;13;17;7;18;19;21;15
12.01.2020;17;23;21;16;14;26;24
13.01.2020;13;28;22;19;21;21;24
14.01.2020;13;21;11;20;9;20;13
15.01.2020;20;26;9;19;27;17;23
16.01.2020;17;15;13;18;17;12;23
17.01.2020;14;18;11;17;15;15;17
18.01.2020;16;20;24;17;24;15;18
19.01.2020;14;18;14;20;16;17;19
20.01.2020;17;17;16;10;12;18;22
21.01.2020;10;12;18;18;13;24;17
22.01.2020;17;30;11;13;18;19;20
23.01.2020;11;24;20;16;12;6;16
24.01.2020;14;18;15;14;15;14;14
25.01.2020;7;18;25;15;10;15;20
26.01.2020;15;17;18;20;20;12;16
27.01.2020;17;16;25;20;16;12;19
28.01.2020;20;16;17;17;19;22;19
29.01.2020;18;21;10;20;21;15;17
30.01.2020;15;14;25;16;20;10;17
31.01.2020;14;16;18;19;12;19;15
01.02.2020;13;26;18;30;10;10;22
02.02.2020;20;23;22;10;23;13;14
03.02.2020;14;28;18;15;18;20;15
04.02.2020;11;14;15;18;16;19;24
05.02.2020;6;20;22;11;14;8;16
06.02.2020;20;15;7;16;23;8;13
07.02.2020;14;16;21;16;13;13;11
08.02.2020;16;5;19;7;18;15;14
09.02.2020;13;21;11;25;18;15;13
10.02.2020;15;9;22;7;14;17;17
11.02.2020;16;24;30;13;11;13;18
12.02.2020;13;17;23;13;12;9;13
13.02.2020;11;11;21;12;13;23;14
14.02.2020;20;14;21;20;11;11;11
15.02.2020;12;15;25;14;14;14;19
16.02.2020;10;10;18;21;16;14;18
17.02.2020;15;23;9;13;16;12;22
18.02.2020;17;19;17;20;16;23;17
19.02.2020;17;20;14;17;11;26;16
20.02.2020;15;13;18;22;18;10;21
21.02.2020;6;14;10;16;17;17;16
22.02.2020;6;10;20;11;13;11;18
23.02.2020;13;19;20;9;11;13;17
24.02.2020;18;16;21;11;16;16;17
25.02.2020;16;14;16;13;17;10;10
26.02.2020;17;15;10;13;16;13;16
27.02.2020;19;17;21;17;16;21;18
28.02.2020;13;11;20;13;13;16;16
29.02.2020;;18;;;;18;
01.03.2020;17;11;26;14;14;22;10
02.03.2020;10;21;21;25;11;16;15
03.03.2020;12;8;19;18;8;16;13
04.03.2020;13;11;17;14;14;14;34
05.03.2020;15;14;15;10;15;14;17
06.03.2020;19;8;15;7;13;13;19
07.03.2020;11;8;19;14;17;18;12
08.03.2020;22;7;20;16;17;11;18
09.03.2020;11;15;18;16;13;17;8
10.03.2020;18;17;16;5;14;10;20
11.03.2020;10;19;17;18;19;15;13
12.03.2020;21;17;13;18;22;11;16
13.03.2020;9;13;18;18;13;13;18
14.03.2020;8;11;16;12;24;11;16
15.03.2020;13;16;9;14;9;15;19
16.03.2020;18;18;14;21;17;18;14
17.03.2020;12;13;24;12;21;8;25
18.03.2020;8;17;10;6;15;18;20
19.03.2020;5;19;18;21;13;10;15
20.03.2020;21;11;12;14;13;20;16
21.03.2020;12;16;14;13;8;22;20
22.03.2020;13;11;14;20;20;15;25
23.03.2020;10;15;16;21;10;10;18
24.03.2020;9;25;15;18;17;17;19
25.03.2020;18;8;16;21;12;16;18
26.03.2020;21;13;13;15;16;17;17
27.03.2020;24;10;15;15;21;18;25
28.03.2020;9;23;11;18;13;20;14
29.03.2020;16;10;13;16;14;11;17
30.03.2020;11;13;18;23;7;23;23
31.03.2020;12;19;16;15;16;18;21
01.04.2020;14;12;14;13;17;17;15
02.04.2020;10;16;17;15;15;17;23
03.04.2020;15;16;21;11;16;17;24
04.04.2020;12;11;16;16;19;12;16
05.04.2020;8;18;15;15;12;10;25
06.04.2020;18;16;21;14;15;19;21
07.04.2020;15;19;12;15;13;18;17
08.04.2020;13;15;15;7;13;11;20
09.04.2020;22;7;13;24;12;10;21
10.04.2020;12;14;18;15;18;18;17
11.04.2020;13;7;19;19;12;11;20
12.04.2020;14;13;8;10;14;11;24
13.04.2020;18;12;12;14;11;23;19
14.04.2020;22;14;14;22;11;6;22
15.04.2020;21;15;8;16;16;15;
16.04.2020;12;7;8;13;9;24;
17.04.2020;13;19;19;15;8;25;
18.04.2020;11;14;12;15;17;14;
