date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;7;9;7;7;11;11;18
02.01.2020;5;8;8;9;12;10;17
03.01.2020;5;8;10;8;15;7;13
04.01.2020;9;5;12;8;10;8;13
05.01.2020;5;17;11;6;5;17;10
06.01.2020;5;10;9;6;11;8;12
07.01.2020;6;19;9;18;11;16;9
08.01.2020;4;11;9;9;16;10;15
09.01.2020;6;10;10;5;11;9;17
10.01.2020;10;16;12;11;11;11;8
11.01.2020;7;10;13;14;4;10;16
12.01.2020;6;17;15;7;9;9;6
13.01.2020;8;12;9;9;6;9;10
14.01.2020;6;11;5;15;13;14;10
15.01.2020;5;10;12;9;14;12;6
16.01.2020;7;11;8;12;15;10;7
17.01.2020;5;9;13;12;8;12;16
18.01.2020;2;5;12;13;10;7;15
19.01.2020;8;18;7;10;8;17;13
20.01.2020;6;13;13;11;12;11;9
21.01.2020;2;7;9;6;11;17;9
22.01.2020;8;11;14;12;7;13;10
23.01.2020;5;16;8;9;6;12;10
24.01.2020;5;13;14;4;10;9;12
25.01.2020;11;12;13;9;9;8;14
26.01.2020;8;16;8;5;9;4;13
27.01.2020;8;14;9;9;5;13;11
28.01.2020;3;16;10;12;10;13;7
29.01.2020;6;8;13;10;13;10;4
30.01.2020;8;19;16;10;18;12;9
31.01.2020;3;22;16;12;15;12;17
01.02.2020;12;31;7;10;18;5;14
02.02.2020;7;10;11;8;9;14;8
03.02.2020;12;14;13;11;11;12;14
04.02.2020;7;7;14;9;10;7;12
05.02.2020;10;10;6;9;13;14;15
06.02.2020;5;26;7;13;10;17;11
07.02.2020;9;11;16;8;10;14;14
08.02.2020;11;24;9;6;14;7;7
09.02.2020;8;23;12;7;14;15;14
10.02.2020;6;6;10;8;4;12;10
11.02.2020;8;12;13;7;10;8;4
12.02.2020;6;13;12;10;11;8;13
13.02.2020;9;12;11;9;16;12;21
14.02.2020;7;6;10;17;18;11;11
15.02.2020;7;11;7;7;20;5;10
16.02.2020;10;6;12;8;9;9;12
17.02.2020;7;8;11;8;3;15;10
18.02.2020;4;11;7;12;7;13;11
19.02.2020;10;7;6;12;4;9;10
20.02.2020;9;14;8;5;8;8;10
21.02.2020;7;6;11;14;5;7;11
22.02.2020;10;13;12;14;6;8;8
23.02.2020;4;16;8;7;11;7;11
24.02.2020;8;7;10;7;8;9;10
25.02.2020;11;9;15;6;12;15;5
26.02.2020;7;6;10;10;15;7;9
27.02.2020;10;11;11;12;8;11;15
28.02.2020;7;9;12;9;8;9;9
29.02.2020;;11;;;;11;
01.03.2020;10;10;5;13;9;13;9
02.03.2020;11;18;15;11;12;9;17
03.03.2020;13;10;3;10;11;7;7
04.03.2020;11;4;11;10;8;8;13
05.03.2020;8;7;9;7;18;14;10
06.03.2020;6;6;11;17;8;7;4
07.03.2020;15;4;13;5;4;14;8
08.03.2020;3;16;8;2;8;11;15
09.03.2020;6;6;15;12;11;6;11
10.03.2020;10;9;13;6;12;11;7
11.03.2020;8;7;10;6;8;9;13
12.03.2020;11;10;11;13;10;9;9
13.03.2020;7;22;8;4;5;8;5
14.03.2020;9;8;12;6;11;7;10
15.03.2020;5;13;10;9;12;15;10
