Date;2016;2017;2018;2019;2020
01.01.2020;1;1;2;8;2
02.01.2020;3;3;2;4;4
03.01.2020;2;5;4;9;3
04.01.2020;1;3;2;4;
05.01.2020;8;2;3;4;5
06.01.2020;3;1;2;9;4
07.01.2020;;3;2;5;6
08.01.2020;7;;4;6;6
09.01.2020;3;3;4;3;2
10.01.2020;2;2;3;6;2
11.01.2020;7;2;3;5;4
12.01.2020;2;2;5;5;4
13.01.2020;6;4;2;10;5
14.01.2020;2;7;6;6;3
15.01.2020;4;2;2;7;4
16.01.2020;4;1;3;8;2
17.01.2020;4;5;1;12;6
18.01.2020;3;7;6;9;1
19.01.2020;4;3;3;4;7
20.01.2020;2;5;1;4;5
21.01.2020;2;4;4;9;6
22.01.2020;3;2;;9;6
23.01.2020;1;8;4;4;3
24.01.2020;2;3;5;4;4
25.01.2020;6;6;1;5;7
26.01.2020;3;2;3;6;1
27.01.2020;8;5;2;4;3
28.01.2020;1;2;4;4;
29.01.2020;5;2;2;2;9
30.01.2020;8;4;4;10;6
31.01.2020;3;7;3;4;4
01.02.2020;3;2;2;5;6
02.02.2020;5;5;5;4;4
03.02.2020;1;1;3;4;1
04.02.2020;2;3;2;3;4
05.02.2020;3;1;1;5;5
06.02.2020;1;4;5;4;3
07.02.2020;2;3;2;4;6
08.02.2020;5;4;3;2;5
09.02.2020;4;6;4;5;2
10.02.2020;;5;4;3;3
11.02.2020;5;2;4;6;6
12.02.2020;;3;2;2;1
13.02.2020;1;6;4;4;3
14.02.2020;4;4;5;4;7
15.02.2020;2;1;8;4;6
16.02.2020;1;2;1;2;4
17.02.2020;4;2;4;6;3
18.02.2020;4;;4;1;3
19.02.2020;4;4;1;8;4
20.02.2020;;3;3;5;4
21.02.2020;3;1;3;3;5
22.02.2020;3;3;5;5;4
23.02.2020;3;3;1;7;4
24.02.2020;2;8;3;4;
25.02.2020;1;1;3;2;1
26.02.2020;4;1;7;2;5
27.02.2020;3;4;4;3;3
28.02.2020;4;6;1;7;9
29.02.2020;;;;;3
01.03.2020;4;2;1;3;6
02.03.2020;2;4;5;2;4
03.03.2020;6;;10;6;5
04.03.2020;2;3;3;1;3
05.03.2020;3;6;6;5;1
06.03.2020;3;3;3;2;3
07.03.2020;2;4;2;2;2
08.03.2020;6;2;3;3;3
09.03.2020;3;2;1;3;5
10.03.2020;1;6;4;4;3
11.03.2020;3;4;4;8;3
12.03.2020;4;5;4;5;5
13.03.2020;3;4;2;3;2
14.03.2020;2;2;5;2;1
15.03.2020;4;2;1;7;5
16.03.2020;1;2;2;2;
17.03.2020;;3;4;2;3
18.03.2020;6;2;6;5;2
19.03.2020;3;2;3;6;3
20.03.2020;4;4;4;3;4
21.03.2020;1;2;3;2;1
22.03.2020;3;;3;5;2
23.03.2020;1;;4;1;3
24.03.2020;6;;8;3;2
25.03.2020;4;2;2;2;3
26.03.2020;3;6;1;5;3
27.03.2020;2;3;5;4;4
28.03.2020;1;7;3;4;1
29.03.2020;5;2;2;5;4
30.03.2020;3;2;4;2;4
31.03.2020;5;3;3;;4
01.04.2020;2;2;3;2;1
02.04.2020;2;2;8;3;5
03.04.2020;2;3;7;7;5
04.04.2020;2;1;2;6;5
05.04.2020;3;4;4;2;3
06.04.2020;4;3;2;3;3
07.04.2020;3;;2;4;3
08.04.2020;3;3;3;;
09.04.2020;2;;2;;5
10.04.2020;4;1;3;5;4
11.04.2020;5;5;5;3;1
12.04.2020;4;4;2;4;4
13.04.2020;5;3;3;3;3
14.04.2020;3;4;5;4;6
15.04.2020;4;3;3;4;2
16.04.2020;2;2;5;5;2
17.04.2020;2;4;4;3;5
18.04.2020;3;2;3;1;1
19.04.2020;1;1;5;4;4
20.04.2020;5;2;6;4;1
21.04.2020;;4;6;1;1
22.04.2020;4;2;4;2;1
23.04.2020;3;1;4;4;2
24.04.2020;;5;2;2;3
25.04.2020;1;2;5;4;3
26.04.2020;8;3;3;3;3
27.04.2020;3;4;6;4;3
28.04.2020;5;4;;6;7
29.04.2020;2;8;3;5;6
30.04.2020;5;3;4;;4
01.05.2020;4;2;6;4;4
02.05.2020;4;5;4;4;3
03.05.2020;4;;5;8;3
04.05.2020;2;1;2;3;3
05.05.2020;1;4;3;2;
06.05.2020;3;3;2;9;3
07.05.2020;2;1;3;3;4
08.05.2020;6;3;3;3;2
09.05.2020;3;4;1;4;4
10.05.2020;1;6;8;1;3
11.05.2020;2;2;5;4;7
12.05.2020;1;;2;4;2
13.05.2020;3;4;;2;3
14.05.2020;3;1;5;3;3
15.05.2020;2;3;3;3;3
16.05.2020;1;4;2;3;2
17.05.2020;1;1;5;1;4
18.05.2020;3;3;2;3;5
19.05.2020;1;4;3;2;1
20.05.2020;1;4;3;4;7
21.05.2020;3;2;4;3;3
22.05.2020;3;3;5;3;
23.05.2020;1;2;6;4;1
24.05.2020;2;3;5;5;2
25.05.2020;2;4;1;3;1
26.05.2020;3;3;2;4;4
27.05.2020;2;4;1;3;2
28.05.2020;;1;3;8;1
29.05.2020;1;3;7;4;6
30.05.2020;1;2;1;4;4
31.05.2020;3;2;3;4;2
01.06.2020;2;2;8;2;2
02.06.2020;2;1;3;1;3
03.06.2020;;2;3;4;1
04.06.2020;5;3;3;1;1
05.06.2020;2;3;5;3;3
06.06.2020;5;;6;2;1
07.06.2020;2;2;4;2;4
08.06.2020;3;4;5;3;2
09.06.2020;1;5;1;4;2
10.06.2020;;2;5;5;2
11.06.2020;3;2;5;;4
12.06.2020;4;2;2;7;3
13.06.2020;;2;4;3;1
14.06.2020;3;2;;5;1
15.06.2020;2;6;4;4;3
16.06.2020;4;1;1;3;7
17.06.2020;1;;1;2;2
18.06.2020;4;3;3;2;2
19.06.2020;6;2;4;2;2
20.06.2020;3;3;3;6;2
21.06.2020;6;3;;3;4
22.06.2020;6;4;2;4;2
23.06.2020;7;4;2;7;
24.06.2020;9;3;4;7;3
25.06.2020;8;2;1;6;1
26.06.2020;4;2;3;3;2
27.06.2020;2;1;2;3;4
28.06.2020;6;3;2;2;5
29.06.2020;5;3;5;6;
30.06.2020;2;3;3;4;4
01.07.2020;3;3;3;5;2
02.07.2020;4;2;3;2;
03.07.2020;4;5;5;2;9
04.07.2020;4;4;1;1;4
05.07.2020;3;4;1;3;6
