Date;2016;2017;2018;2019;2020
01.01.2020;;4;5;1;3
02.01.2020;;;2;1;2
03.01.2020;;2;5;3;1
04.01.2020;;5;2;2;4
05.01.2020;;6;4;3;3
06.01.2020;;8;2;3;
07.01.2020;;7;;3;5
08.01.2020;;4;;1;1
09.01.2020;;8;2;2;3
10.01.2020;;2;;4;3
11.01.2020;;4;5;4;6
12.01.2020;;3;1;4;3
13.01.2020;;4;1;3;3
14.01.2020;;4;2;4;2
15.01.2020;;2;;3;6
16.01.2020;;4;1;4;5
17.01.2020;;3;1;3;4
18.01.2020;;5;2;6;3
19.01.2020;;5;;3;
20.01.2020;;5;2;5;4
21.01.2020;;4;2;8;6
22.01.2020;;5;2;2;3
23.01.2020;;3;;2;2
24.01.2020;;8;2;3;4
25.01.2020;;1;2;1;2
26.01.2020;;3;3;;2
27.01.2020;;3;7;6;8
28.01.2020;;2;1;2;4
29.01.2020;;3;2;1;3
30.01.2020;;2;1;2;2
31.01.2020;;6;4;3;2
01.02.2020;;6;2;4;2
02.02.2020;;3;1;4;3
03.02.2020;;5;4;1;
04.02.2020;;2;;5;3
05.02.2020;;6;;2;4
06.02.2020;;2;2;4;3
07.02.2020;;;3;3;6
08.02.2020;;4;3;5;6
09.02.2020;;2;8;5;3
10.02.2020;;3;4;1;1
11.02.2020;;1;5;3;8
12.02.2020;;4;1;5;7
13.02.2020;;2;2;2;2
14.02.2020;;8;2;1;6
15.02.2020;;2;1;2;3
16.02.2020;;3;2;3;1
17.02.2020;;4;4;;2
18.02.2020;;3;3;1;6
19.02.2020;;6;4;2;5
20.02.2020;;;2;2;5
21.02.2020;;7;5;4;1
22.02.2020;;5;3;1;3
23.02.2020;;4;2;5;5
24.02.2020;;;5;4;4
25.02.2020;;3;3;4;2
26.02.2020;;5;3;3;3
27.02.2020;;3;3;4;1
28.02.2020;;6;6;4;2
29.02.2020;;;;;4
01.03.2020;;5;2;5;2
02.03.2020;;1;;3;4
03.03.2020;;4;3;3;2
04.03.2020;;3;;3;
05.03.2020;;1;1;1;
06.03.2020;;5;2;1;5
