Date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;;25;25;23
02.01.2020;;;;;21;21;31
03.01.2020;;;;;26;17;35
04.01.2020;;;;;12;23;25
05.01.2020;;;;;24;18;35
06.01.2020;;;;;17;16;33
07.01.2020;;;;;21;21;25
08.01.2020;;;;;26;29;23
09.01.2020;;;;;21;30;24
10.01.2020;;;;;18;26;21
11.01.2020;;;;;22;21;21
12.01.2020;;;;;18;25;19
13.01.2020;;;;;24;22;31
14.01.2020;;;;;26;28;31
15.01.2020;;;;;22;27;26
16.01.2020;;;;;24;35;20
17.01.2020;;;;;21;23;20
18.01.2020;;;;;22;23;27
19.01.2020;;;;;18;20;30
20.01.2020;;;;;19;28;21
21.01.2020;;;;;19;26;21
22.01.2020;;;;;27;22;31
23.01.2020;;;;;28;25;19
24.01.2020;;;;;26;22;20
25.01.2020;;;;;19;26;22
26.01.2020;;;;;22;22;31
27.01.2020;;;;;29;26;22
28.01.2020;;;;;22;33;14
29.01.2020;;;;;31;27;25
30.01.2020;;;;;29;24;18
31.01.2020;;;;;21;19;22
01.02.2020;;;;;25;27;28
02.02.2020;;;;;26;26;23
03.02.2020;;;;;21;22;17
04.02.2020;;;;;35;19;25
05.02.2020;;;;;18;19;22
06.02.2020;;;;;31;26;16
07.02.2020;;;;;19;24;23
08.02.2020;;;;;22;20;19
09.02.2020;;;;;25;27;17
10.02.2020;;;;;19;16;22
11.02.2020;;;;;20;20;32
12.02.2020;;;;;23;26;19
13.02.2020;;;;;12;19;23
14.02.2020;;;;;24;19;18
15.02.2020;;;;;26;22;23
16.02.2020;;;;;17;20;29
17.02.2020;;;;;18;14;24
18.02.2020;;;;;24;30;15
19.02.2020;;;;;20;19;23
20.02.2020;;;;;19;18;19
21.02.2020;;;;;15;21;37
22.02.2020;;;;;15;11;19
23.02.2020;;;;;20;15;24
24.02.2020;;;;;20;15;21
25.02.2020;;;;;21;17;27
26.02.2020;;;;;18;18;24
27.02.2020;;;;;17;21;18
28.02.2020;;;;;11;23;14
29.02.2020;;;;;;20;
01.03.2020;;;;;16;16;24
02.03.2020;;;;;20;15;21
03.03.2020;;;;;18;15;22
04.03.2020;;;;;18;21;20
05.03.2020;;;;;16;19;22
06.03.2020;;;;;21;14;21
07.03.2020;;;;;18;22;16
08.03.2020;;;;;21;17;23
