date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;11;11;11;13
02.01.2020;;;;7;7;7;8
03.01.2020;;;;8;9;7;8
04.01.2020;;;;14;6;8;14
05.01.2020;;;;15;8;9;14
06.01.2020;;;;7;8;5;14
07.01.2020;;;;10;14;10;15
08.01.2020;;;;17;9;14;15
09.01.2020;;;;12;9;17;8
10.01.2020;;;;12;10;8;10
11.01.2020;;;;4;10;13;11
12.01.2020;;;;10;8;10;12
13.01.2020;;;;6;9;11;12
14.01.2020;;;;10;7;10;11
15.01.2020;;;;11;9;10;5
16.01.2020;;;;10;9;7;4
17.01.2020;;;;12;9;16;8
18.01.2020;;;;8;6;13;8
19.01.2020;;;;6;10;8;7
20.01.2020;;;;13;8;9;10
21.01.2020;;;;8;11;7;8
22.01.2020;;;;5;7;15;9
23.01.2020;;;;16;6;12;7
24.01.2020;;;;9;9;7;6
25.01.2020;;;;7;7;8;9
26.01.2020;;;;9;8;4;11
27.01.2020;;;;5;10;7;14
28.01.2020;;;;15;5;6;9
29.01.2020;;;;5;14;8;13
30.01.2020;;;;6;5;7;10
31.01.2020;;;;6;15;9;11
01.02.2020;;;;12;6;11;13
02.02.2020;;;;10;12;11;6
03.02.2020;;;;15;6;14;14
04.02.2020;;;;9;5;8;6
05.02.2020;;;;10;12;7;11
06.02.2020;;;;9;11;6;8
07.02.2020;;;;8;14;7;5
08.02.2020;;;;8;11;7;11
09.02.2020;;;;3;5;7;6
10.02.2020;;;;8;6;4;10
11.02.2020;;;;6;8;13;5
12.02.2020;;;;3;12;5;7
13.02.2020;;;;12;10;9;6
14.02.2020;;;;8;16;11;10
15.02.2020;;;;5;7;8;6
16.02.2020;;;;8;10;3;10
17.02.2020;;;;9;9;3;13
18.02.2020;;;;8;8;6;11
19.02.2020;;;;3;6;7;8
20.02.2020;;;;9;7;6;11
21.02.2020;;;;9;7;7;4
22.02.2020;;;;6;7;10;11
23.02.2020;;;;7;14;8;10
24.02.2020;;;;7;8;7;11
25.02.2020;;;;13;7;7;2
26.02.2020;;;;9;10;8;10
27.02.2020;;;;7;11;7;9
28.02.2020;;;;8;13;9;10
29.02.2020;;;;;;9;
01.03.2020;;;;8;9;9;6
02.03.2020;;;;9;7;9;5
03.03.2020;;;;9;11;8;11
04.03.2020;;;;3;4;6;8
05.03.2020;;;;2;12;7;8
06.03.2020;;;;7;8;7;9
07.03.2020;;;;7;7;5;9
08.03.2020;;;;2;8;5;8
09.03.2020;;;;5;6;2;6
10.03.2020;;;;2;;11;9
11.03.2020;;;;4;7;9;9
12.03.2020;;;;4;8;10;3
13.03.2020;;;;4;8;11;11
14.03.2020;;;;4;11;6;4
15.03.2020;;;;4;7;8;4
16.03.2020;;;;4;8;2;5
17.03.2020;;;;4;4;6;6
18.03.2020;;;;4;8;7;13
19.03.2020;;;;4;8;13;9
20.03.2020;;;;4;8;13;4
21.03.2020;;;;4;4;8;6
22.03.2020;;;;4;4;13;5
23.03.2020;;;;4;4;8;10
24.03.2020;;;;9;6;7;7
