Date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;;;30;21;18
02.01.2020;;;;;29;21;19
03.01.2020;;;;;20;21;12
04.01.2020;;;;;20;28;21
05.01.2020;;;;;22;20;23
06.01.2020;;;;;16;20;37
07.01.2020;;;;;28;32;20
08.01.2020;;;;;27;22;23
09.01.2020;;;;;28;27;15
10.01.2020;;;;;28;26;20
11.01.2020;;;;;29;25;22
12.01.2020;;;;;21;25;36
13.01.2020;;;;;25;27;28
14.01.2020;;;;;20;21;20
15.01.2020;;;;;28;25;12
16.01.2020;;;;;18;37;15
17.01.2020;;;;;38;29;15
18.01.2020;;;;;19;20;21
19.01.2020;;;;;29;24;24
20.01.2020;;;;;26;29;24
21.01.2020;;;;;39;20;14
22.01.2020;;;;;35;24;23
23.01.2020;;;;;30;25;22
24.01.2020;;;;;28;20;29
25.01.2020;;;;;37;26;24
26.01.2020;;;;;35;18;25
27.01.2020;;;;;24;29;24
28.01.2020;;;;;23;14;14
29.01.2020;;;;;19;29;33
30.01.2020;;;;;28;21;18
31.01.2020;;;;;27;30;25
01.02.2020;;;;;22;20;21
02.02.2020;;;;;30;20;17
03.02.2020;;;;;26;19;30
04.02.2020;;;;;18;26;21
05.02.2020;;;;;30;22;11
06.02.2020;;;;;24;20;18
07.02.2020;;;;;22;16;19
08.02.2020;;;;;29;21;17
09.02.2020;;;;;18;22;24
10.02.2020;;;;;24;19;18
11.02.2020;;;;;13;14;20
12.02.2020;;;;;26;17;18
13.02.2020;;;;;18;19;18
14.02.2020;;;;;17;20;23
15.02.2020;;;;;17;22;28
16.02.2020;;;;;24;11;31
17.02.2020;;;;;30;20;23
18.02.2020;;;;;24;12;18
19.02.2020;;;;;24;19;23
20.02.2020;;;;;17;25;21
21.02.2020;;;;;23;21;19
22.02.2020;;;;;16;11;28
23.02.2020;;;;;18;23;23
24.02.2020;;;;;16;26;26
25.02.2020;;;;;20;9;11
26.02.2020;;;;;17;21;19
27.02.2020;;;;;24;18;23
28.02.2020;;;;;23;18;18
29.02.2020;;;;;;19;
01.03.2020;;;;;11;22;25
02.03.2020;;;;;20;25;18
03.03.2020;;;;;20;26;18
04.03.2020;;;;;26;16;25
05.03.2020;;;;;27;14;24
06.03.2020;;;;;17;15;18
07.03.2020;;;;;22;21;21
08.03.2020;;;;;16;19;17
09.03.2020;;;;;21;18;12
10.03.2020;;;;;12;14;25
11.03.2020;;;;;19;22;23
12.03.2020;;;;;15;15;16
13.03.2020;;;;;17;22;16
14.03.2020;;;;;11;19;28
15.03.2020;;;;;18;30;14
16.03.2020;;;;;18;26;19
17.03.2020;;;;;15;15;22
18.03.2020;;;;;22;16;16
19.03.2020;;;;;24;26;19
20.03.2020;;;;;14;15;23
21.03.2020;;;;;13;18;20
22.03.2020;;;;;26;19;25
23.03.2020;;;;;16;26;19
24.03.2020;;;;;21;28;28
25.03.2020;;;;;20;34;26
26.03.2020;;;;;26;19;25
27.03.2020;;;;;23;20;21
28.03.2020;;;;;14;25;20
29.03.2020;;;;;20;26;20
30.03.2020;;;;;21;22;25
31.03.2020;;;;;22;34;23
01.04.2020;;;;;13;17;26
02.04.2020;;;;;24;21;20
03.04.2020;;;;;16;28;13
04.04.2020;;;;;13;26;26
05.04.2020;;;;;18;24;26
06.04.2020;;;;;18;16;30
07.04.2020;;;;;18;18;26
08.04.2020;;;;;18;17;26
09.04.2020;;;;;16;28;26
10.04.2020;;;;;16;16;16
11.04.2020;;;;;23;25;25
12.04.2020;;;;;19;16;28
13.04.2020;;;;;19;12;31
14.04.2020;;;;;27;27;27
15.04.2020;;;;;18;19;29
16.04.2020;;;;;22;21;23
17.04.2020;;;;;22;21;25
18.04.2020;;;;;23;16;24
19.04.2020;;;;;16;13;33
20.04.2020;;;;;30;24;27
21.04.2020;;;;;16;24;36
22.04.2020;;;;;11;15;36
23.04.2020;;;;;18;19;29
24.04.2020;;;;;18;17;25
25.04.2020;;;;;24;21;27
26.04.2020;;;;;14;20;25
27.04.2020;;;;;21;24;26
28.04.2020;;;;;27;15;38
29.04.2020;;;;;20;19;37
30.04.2020;;;;;17;17;30
01.05.2020;;;;;16;8;36
02.05.2020;;;;;23;25;25
03.05.2020;;;;;16;18;37
04.05.2020;;;;;11;23;34
05.05.2020;;;;;18;21;39
06.05.2020;;;;;21;20;29
07.05.2020;;;;;16;20;24
08.05.2020;;;;;22;18;31
09.05.2020;;;;;10;23;25
10.05.2020;;;;;24;9;17
11.05.2020;;;;;19;9;21
12.05.2020;;;;;13;19;19
13.05.2020;;;;;22;21;25
14.05.2020;;;;;13;18;31
15.05.2020;;;;;17;15;28
16.05.2020;;;;;12;19;28
17.05.2020;;;;;14;18;25
18.05.2020;;;;;17;21;20
19.05.2020;;;;;14;18;25
20.05.2020;;;;;17;13;25
21.05.2020;;;;;18;16;30
22.05.2020;;;;;17;22;21
23.05.2020;;;;;11;15;26
24.05.2020;;;;;19;23;21
25.05.2020;;;;;15;19;14
26.05.2020;;;;;13;17;24
27.05.2020;;;;;22;34;26
28.05.2020;;;;;14;18;16
29.05.2020;;;;;10;16;19
30.05.2020;;;;;24;20;17
31.05.2020;;;;;19;17;19
01.06.2020;;;;;13;13;12
02.06.2020;;;;;21;19;28
03.06.2020;;;;;19;16;19
04.06.2020;;;;;18;16;27
05.06.2020;;;;;18;16;14
06.06.2020;;;;;18;18;24
07.06.2020;;;;;20;26;10
08.06.2020;;;;;22;25;17
09.06.2020;;;;;26;20;32
10.06.2020;;;;;22;19;17
11.06.2020;;;;;21;21;26
12.06.2020;;;;;22;19;10
13.06.2020;;;;;18;14;18
14.06.2020;;;;;18;21;25
15.06.2020;;;;;23;13;28
16.06.2020;;;;;17;14;18
17.06.2020;;;;;17;17;24
18.06.2020;;;;;12;15;20
19.06.2020;;;;;18;19;10
20.06.2020;;;;;16;28;21
21.06.2020;;;;;19;15;17
22.06.2020;;;;;19;26;29
23.06.2020;;;;;15;29;11
24.06.2020;;;;;11;15;16
25.06.2020;;;;;13;19;19
26.06.2020;;;;;22;17;19
27.06.2020;;;;;19;20;25
28.06.2020;;;;;19;20;25
29.06.2020;;;;;24;18;19
30.06.2020;;;;;16;22;
01.07.2020;;;;;17;21;
02.07.2020;;;;;13;21;
03.07.2020;;;;;32;18;
04.07.2020;;;;;20;31;
05.07.2020;;;;;9;18;
06.07.2020;;;;;15;25;
07.07.2020;;;;;21;28;
08.07.2020;;;;;22;15;
09.07.2020;;;;;17;25;
10.07.2020;;;;;17;17;
11.07.2020;;;;;21;16;
12.07.2020;;;;;14;27;
13.07.2020;;;;;24;21;
14.07.2020;;;;;10;25;
15.07.2020;;;;;15;19;
16.07.2020;;;;;13;11;
17.07.2020;;;;;15;22;
18.07.2020;;;;;14;16;
19.07.2020;;;;;14;19;
20.07.2020;;;;;19;15;
21.07.2020;;;;;25;20;
22.07.2020;;;;;22;12;
23.07.2020;;;;;19;11;
24.07.2020;;;;;21;20;
25.07.2020;;;;;12;19;
26.07.2020;;;;;22;19;
27.07.2020;;;;;14;21;
28.07.2020;;;;;27;16;
29.07.2020;;;;;18;16;
30.07.2020;;;;;12;25;
31.07.2020;;;;;22;20;
01.08.2020;;;;;22;22;
02.08.2020;;;;;24;18;
03.08.2020;;;;;21;18;
04.08.2020;;;;;18;19;
05.08.2020;;;;;15;26;
06.08.2020;;;;;18;17;
07.08.2020;;;;;16;13;
08.08.2020;;;;;16;25;
09.08.2020;;;;;12;22;
10.08.2020;;;;;20;27;
11.08.2020;;;;;11;22;
12.08.2020;;;;;16;19;
13.08.2020;;;;;12;14;
14.08.2020;;;;;13;17;
15.08.2020;;;;;25;23;
16.08.2020;;;;;19;25;
17.08.2020;;;;;20;15;
18.08.2020;;;;;21;15;
19.08.2020;;;;;19;12;
20.08.2020;;;;;34;29;
21.08.2020;;;;;17;13;
22.08.2020;;;;;16;13;
23.08.2020;;;;;16;10;
24.08.2020;;;;;16;25;
25.08.2020;;;;;21;27;
26.08.2020;;;;;22;18;
27.08.2020;;;;;24;14;
28.08.2020;;;;;19;18;
29.08.2020;;;;;15;19;
30.08.2020;;;;;16;20;
31.08.2020;;;;;21;20;
01.09.2020;;;;;24;11;
02.09.2020;;;;;12;29;
03.09.2020;;;;;14;13;
04.09.2020;;;;;18;20;
05.09.2020;;;;;14;24;
06.09.2020;;;;;14;15;
07.09.2020;;;;;16;26;
08.09.2020;;;;;20;12;
09.09.2020;;;;;12;21;
10.09.2020;;;;;16;20;
11.09.2020;;;;;18;22;
12.09.2020;;;;;12;26;
13.09.2020;;;;;14;21;
14.09.2020;;;;;17;21;
15.09.2020;;;;;17;21;
16.09.2020;;;;;13;17;
17.09.2020;;;;;13;21;
18.09.2020;;;;;22;25;
19.09.2020;;;;;21;12;
20.09.2020;;;;;15;20;
21.09.2020;;;;;13;26;
22.09.2020;;;;;14;16;
23.09.2020;;;;;21;20;
24.09.2020;;;;;16;25;
25.09.2020;;;;;18;19;
26.09.2020;;;;;13;25;
27.09.2020;;;;;16;16;
28.09.2020;;;;;15;27;
29.09.2020;;;;;17;20;
30.09.2020;;;;;22;25;
01.10.2020;;;;;12;13;
02.10.2020;;;;;17;19;
03.10.2020;;;;;15;15;
04.10.2020;;;;;22;15;
05.10.2020;;;;;10;17;
06.10.2020;;;;;16;23;
07.10.2020;;;;;15;25;
08.10.2020;;;;;14;21;
09.10.2020;;;;;22;24;
10.10.2020;;;;;14;8;
11.10.2020;;;;;13;19;
12.10.2020;;;;;11;20;
13.10.2020;;;;;10;25;
14.10.2020;;;;;12;27;
15.10.2020;;;;;20;21;
16.10.2020;;;;;17;17;
17.10.2020;;;;;18;25;
18.10.2020;;;;;16;24;
19.10.2020;;;;;12;23;
20.10.2020;;;;;25;15;
21.10.2020;;;;;26;20;
22.10.2020;;;;;20;22;
23.10.2020;;;;;19;12;
24.10.2020;;;;;22;22;
25.10.2020;;;;;9;20;
26.10.2020;;;;;18;21;
27.10.2020;;;;;20;27;
28.10.2020;;;;;11;25;
29.10.2020;;;;;23;25;
30.10.2020;;;;;21;26;
31.10.2020;;;;;21;29;
01.11.2020;;;;;22;19;
02.11.2020;;;;;22;19;
03.11.2020;;;;;22;37;
04.11.2020;;;;;13;28;
05.11.2020;;;;;17;27;
06.11.2020;;;;;14;21;
07.11.2020;;;;;20;20;
08.11.2020;;;;;12;30;
09.11.2020;;;;;11;27;
10.11.2020;;;;;17;33;
11.11.2020;;;;;18;31;
12.11.2020;;;;;17;28;
13.11.2020;;;;;24;28;
14.11.2020;;;;;15;26;
15.11.2020;;;;;23;39;
16.11.2020;;;;;14;25;
17.11.2020;;;;;20;33;
18.11.2020;;;;;13;29;
19.11.2020;;;;;18;33;
20.11.2020;;;;;16;28;
21.11.2020;;;;;21;45;
22.11.2020;;;;;21;44;
23.11.2020;;;;;17;51;
24.11.2020;;;;;13;47;
25.11.2020;;;;;23;40;
26.11.2020;;;;;22;39;
27.11.2020;;;;;21;50;
28.11.2020;;;;;16;41;
29.11.2020;;;;;16;43;
30.11.2020;;;;;22;32;
01.12.2020;;;;;22;47;
02.12.2020;;;;;18;43;
03.12.2020;;;;;20;36;
04.12.2020;;;;;20;46;
05.12.2020;;;;;19;40;
06.12.2020;;;;;18;36;
07.12.2020;;;;;22;42;
08.12.2020;;;;;18;48;
09.12.2020;;;;;13;39;
10.12.2020;;;;;17;33;
11.12.2020;;;;;16;36;
12.12.2020;;;;;23;32;
13.12.2020;;;;;14;35;
14.12.2020;;;;;22;39;
15.12.2020;;;;;21;36;
16.12.2020;;;;;17;37;
17.12.2020;;;;;19;42;
18.12.2020;;;;;19;30;
19.12.2020;;;;;21;20;
20.12.2020;;;;;22;34;
21.12.2020;;;;;13;36;
22.12.2020;;;;;21;26;
23.12.2020;;;;;23;30;
24.12.2020;;;;;15;30;
25.12.2020;;;;;13;37;
26.12.2020;;;;;25;27;
27.12.2020;;;;;17;25;
28.12.2020;;;;;13;31;
29.12.2020;;;;;17;24;
30.12.2020;;;;;18;18;18
31.12.2020;;;;;18;24;24
01.01.2021;;;;;30;21;18
02.01.2021;;;;;29;21;19
03.01.2021;;;;;20;21;12
04.01.2021;;;;;20;28;21
05.01.2021;;;;;22;20;23
06.01.2021;;;;;16;20;37
07.01.2021;;;;;28;32;20
08.01.2021;;;;;27;22;23
09.01.2021;;;;;28;27;15
10.01.2021;;;;;28;26;20
11.01.2021;;;;;29;25;22
12.01.2021;;;;;21;25;36
13.01.2021;;;;;25;27;28
14.01.2021;;;;;20;21;20
15.01.2021;;;;;28;25;12
16.01.2021;;;;;18;37;15
17.01.2021;;;;;38;29;15
18.01.2021;;;;;19;20;21
19.01.2021;;;;;29;24;24
20.01.2021;;;;;26;29;24
21.01.2021;;;;;39;20;14
22.01.2021;;;;;35;24;23
23.01.2021;;;;;30;25;22
24.01.2021;;;;;28;20;29
25.01.2021;;;;;37;26;24
26.01.2021;;;;;35;18;25
27.01.2021;;;;;24;29;24
28.01.2021;;;;;23;14;14
29.01.2021;;;;;19;29;33
30.01.2021;;;;;28;21;18
31.01.2021;;;;;27;30;25
01.02.2021;;;;;22;20;21
02.02.2021;;;;;30;20;17
03.02.2021;;;;;26;19;30
04.02.2021;;;;;18;26;21
05.02.2021;;;;;30;22;11
06.02.2021;;;;;24;20;18
07.02.2021;;;;;22;16;19
08.02.2021;;;;;29;21;17
09.02.2021;;;;;18;22;24
10.02.2021;;;;;24;19;18
11.02.2021;;;;;13;14;20
12.02.2021;;;;;26;17;18
13.02.2021;;;;;18;19;18
14.02.2021;;;;;17;20;23
15.02.2021;;;;;17;22;28
16.02.2021;;;;;24;11;31
17.02.2021;;;;;30;20;23
