Date;2015;2016;2017;2018;2019;2020;2021
01.01.2020;;;16,39;14,35;18,97;14,16;27
02.01.2020;;;16,39;14,35;18,97;14,16;27
03.01.2020;;;16,39;14,35;18,97;14,16;24
04.01.2020;;;16,39;14,35;18,97;14,16;23
05.01.2020;;;16,39;14,35;18,97;14,16;27
06.01.2020;;;16,39;14,35;18,97;14,16;20
07.01.2020;;;16,39;14,35;18,97;14,16;18
08.01.2020;;;16,39;14,35;18,97;14,16;19
09.01.2020;;;16,39;14,35;18,97;14,16;24
10.01.2020;;;16,39;14,35;18,97;14,16;21
11.01.2020;;;16,39;14,35;18,97;14,16;15
12.01.2020;;;16,39;14,35;18,97;14,16;23
13.01.2020;;;16,39;14,35;18,97;14,16;20
14.01.2020;;;16,39;14,35;18,97;14,16;17
15.01.2020;;;16,39;14,35;18,97;14,16;24
16.01.2020;;;16,39;14,35;18,97;14,16;17
17.01.2020;;;16,39;14,35;18,97;14,16;11
18.01.2020;;;16,39;14,35;18,97;14,16;15
19.01.2020;;;16,39;14,35;18,97;14,16;14
20.01.2020;;;16,39;14,35;18,97;14,16;14
21.01.2020;;;16,39;14,35;18,97;14,16;31
22.01.2020;;;16,39;14,35;18,97;14,16;29
23.01.2020;;;16,39;14,35;18,97;14,16;24
24.01.2020;;;16,39;14,35;18,97;14,16;17
25.01.2020;;;16,39;14,35;18,97;14,16;23
26.01.2020;;;16,39;14,35;18,97;14,16;23
27.01.2020;;;16,39;14,35;18,97;14,16;10
28.01.2020;;;16,39;14,35;18,97;14,16;21
29.01.2020;;;16,39;14,35;18,97;14,16;24
30.01.2020;;;16,39;14,35;18,97;14,16;24
31.01.2020;;;16,39;14,35;18,97;14,16;20
01.02.2020;;;16,43;14,14;15,39;15,14;23
02.02.2020;;;16,43;14,14;15,39;15,14;18
03.02.2020;;;16,43;14,14;15,39;15,14;16
04.02.2020;;;16,43;14,14;15,39;15,14;16
05.02.2020;;;16,43;14,14;15,39;15,14;19
06.02.2020;;;16,43;14,14;15,39;15,14;18
07.02.2020;;;16,43;14,14;15,39;15,14;9
08.02.2020;;;16,43;14,14;15,39;15,14;16
09.02.2020;;;16,43;14,14;15,39;15,14;20
10.02.2020;;;16,43;14,14;15,39;15,14;24
11.02.2020;;;16,43;14,14;15,39;15,14;17
12.02.2020;;;16,43;14,14;15,39;15,14;18
13.02.2020;;;16,43;14,14;15,39;15,14;16
14.02.2020;;;16,43;14,14;15,39;15,14;18
15.02.2020;;;16,43;14,14;15,39;15,14;22
16.02.2020;;;16,43;14,14;15,39;15,14;26
17.02.2020;;;16,43;14,14;15,39;15,14;17
18.02.2020;;;16,43;14,14;15,39;15,14;23
19.02.2020;;;16,43;14,14;15,39;15,14;12
20.02.2020;;;16,43;14,14;15,39;15,14;17
21.02.2020;;;16,43;14,14;15,39;15,14;8
22.02.2020;;;16,43;14,14;15,39;15,14;23
23.02.2020;;;16,43;14,14;15,39;15,14;9
24.02.2020;;;16,43;14,14;15,39;15,14;13
25.02.2020;;;16,43;14,14;15,39;15,14;20
