Date;2015;2016;2017;2018;2019;2020
01.01.2020;;;4;5;3;
02.01.2020;;;3;2;3;6
03.01.2020;;;3;9;9;3
04.01.2020;;14;3;1;6;2
05.01.2020;15;3;6;4;2;6
06.01.2020;5;4;2;4;1;8
07.01.2020;7;4;3;2;2;6
08.01.2020;3;6;3;1;3;4
09.01.2020;7;;;4;4;7
10.01.2020;;;5;4;12;5
11.01.2020;;12;4;2;8;2
12.01.2020;10;4;1;1;8;7
13.01.2020;2;2;5;4;6;5
14.01.2020;10;3;2;1;7;1
15.01.2020;;2;9;6;8;7
16.01.2020;;;6;3;3;5
17.01.2020;;;1;1;6;7
18.01.2020;;14;6;5;4;4
19.01.2020;17;5;4;1;8;6
20.01.2020;4;2;8;4;5;2
21.01.2020;3;5;2;4;4;7
22.01.2020;2;3;3;3;5;1
23.01.2020;3;;9;1;8;5
24.01.2020;;;9;2;8;5
25.01.2020;;14;4;4;7;2
26.01.2020;14;4;6;6;8;1
27.01.2020;4;7;5;3;3;7
28.01.2020;3;4;12;1;2;2
29.01.2020;5;4;2;5;4;5
30.01.2020;5;;2;3;3;8
31.01.2020;;;2;2;4;5
01.02.2020;;14;2;3;6;5
02.02.2020;17;6;3;5;4;5
03.02.2020;3;4;;3;3;2
04.02.2020;2;7;3;7;6;9
05.02.2020;4;5;7;4;11;2
06.02.2020;5;;4;4;5;7
07.02.2020;;;1;3;4;7
08.02.2020;;7;4;5;2;6
09.02.2020;9;3;3;1;2;7
10.02.2020;2;3;2;5;7;3
11.02.2020;4;2;8;5;6;7
12.02.2020;2;10;4;3;6;5
13.02.2020;2;;3;6;5;5
14.02.2020;;;1;2;8;4
15.02.2020;;19;3;2;7;5
16.02.2020;8;4;2;;1;5
17.02.2020;6;2;4;5;4;2
18.02.2020;4;4;1;6;5;4
19.02.2020;1;2;6;3;;
20.02.2020;3;;2;5;2;4
21.02.2020;;;4;9;2;1
22.02.2020;;14;2;5;5;6
23.02.2020;14;4;3;4;3;5
24.02.2020;5;5;3;3;5;4
25.02.2020;3;3;1;5;3;6
26.02.2020;3;2;2;2;7;5
27.02.2020;5;;3;2;5;9
28.02.2020;;;8;4;5;3
29.02.2020;;11;;;;5
01.03.2020;;1;6;3;3;2
02.03.2020;12;4;3;3;4;3
03.03.2020;4;;4;8;3;4
04.03.2020;3;5;6;9;9;6
05.03.2020;1;;3;4;3;4
06.03.2020;5;;4;2;1;6
07.03.2020;;14;3;1;7;6
08.03.2020;;6;2;3;2;2
09.03.2020;8;2;6;8;2;2
10.03.2020;1;;2;6;3;3
11.03.2020;3;1;;3;3;2
12.03.2020;6;;3;2;3;3
13.03.2020;4;;3;4;7;3
14.03.2020;;6;;3;1;9
15.03.2020;;3;1;3;8;3
16.03.2020;14;2;;6;3;3
17.03.2020;2;4;1;3;4;3
18.03.2020;6;3;4;2;3;5
19.03.2020;4;;2;4;2;6
20.03.2020;1;;1;5;3;2
21.03.2020;;15;4;2;5;1
22.03.2020;;5;;4;;4
23.03.2020;6;7;3;8;4;3
24.03.2020;1;2;4;8;2;2
25.03.2020;5;4;3;3;2;1
26.03.2020;4;;1;2;3;4
27.03.2020;4;;4;2;3;2
28.03.2020;;11;2;5;1;2
29.03.2020;;4;1;2;5;1
30.03.2020;7;3;5;5;7;1
31.03.2020;3;1;2;3;2;2
01.04.2020;4;5;1;4;7;
02.04.2020;;;4;1;9;1
03.04.2020;3;;5;3;4;
04.04.2020;;8;1;5;6;
05.04.2020;;3;6;1;2;1
06.04.2020;12;1;1;3;1;
07.04.2020;1;8;;4;3;
08.04.2020;2;3;3;4;3;
09.04.2020;1;;4;2;6;5
10.04.2020;5;;3;7;3;6
11.04.2020;;12;4;3;7;6
12.04.2020;;5;3;4;3;3
13.04.2020;8;2;;3;1;8
14.04.2020;3;8;3;;5;12
15.04.2020;5;3;8;1;6;4
16.04.2020;5;;3;2;3;4
17.04.2020;1;;4;4;9;4
18.04.2020;;10;2;5;5;5
19.04.2020;;6;2;1;3;5
20.04.2020;10;5;4;3;3;8
21.04.2020;4;2;1;1;2;9
22.04.2020;1;6;6;;2;2
23.04.2020;;;5;2;4;1
24.04.2020;4;;2;1;4;7
25.04.2020;;11;4;1;1;7
26.04.2020;;3;2;7;3;3
27.04.2020;12;4;2;6;3;8
28.04.2020;3;;3;5;3;7
29.04.2020;10;5;5;4;6;5
30.04.2020;2;;4;5;2;5
01.05.2020;;3;3;4;4;2
02.05.2020;;4;3;2;2;9
03.05.2020;;4;5;1;1;6
04.05.2020;10;4;2;3;3;5
05.05.2020;5;1;6;4;2;9
06.05.2020;9;4;3;5;7;7
07.05.2020;5;4;;3;3;4
08.05.2020;1;2;2;2;3;2
09.05.2020;;2;3;2;6;5
10.05.2020;;4;3;4;4;6
11.05.2020;10;3;1;4;3;5
12.05.2020;4;4;1;3;2;7
13.05.2020;3;1;3;8;5;4
14.05.2020;;5;3;4;3;4
15.05.2020;3;3;;7;3;2
16.05.2020;;7;2;4;6;5
17.05.2020;;7;2;4;6;3
18.05.2020;7;8;2;3;4;4
19.05.2020;;2;1;3;5;4
20.05.2020;10;5;4;4;2;10
21.05.2020;4;4;;1;2;4
22.05.2020;5;1;8;6;5;3
23.05.2020;;4;;3;2;
24.05.2020;;2;6;2;2;
25.05.2020;14;4;;5;3;
26.05.2020;3;1;1;3;1;1
27.05.2020;4;5;2;1;3;10
28.05.2020;2;3;4;5;4;
29.05.2020;5;4;2;3;3;
30.05.2020;;4;3;2;2;5
31.05.2020;;3;3;1;4;4
01.06.2020;5;6;;1;;
02.06.2020;6;3;1;4;1;1
03.06.2020;3;1;3;2;5;
04.06.2020;7;;1;1;2;4
05.06.2020;1;2;3;2;3;5
06.06.2020;;2;4;3;;4
07.06.2020;;5;2;2;1;3
08.06.2020;9;3;;2;4;3
09.06.2020;4;3;3;2;5;4
10.06.2020;7;4;;;3;6
11.06.2020;2;3;3;;2;7
12.06.2020;3;3;2;1;2;7
13.06.2020;;8;2;5;5;2
14.06.2020;;4;1;5;5;6
15.06.2020;3;3;5;3;;5
16.06.2020;3;4;4;;1;9
17.06.2020;2;3;1;3;3;8
18.06.2020;1;;1;5;3;9
19.06.2020;3;3;2;3;4;10
20.06.2020;;1;3;2;4;3
21.06.2020;;1;3;4;2;5
22.06.2020;3;4;1;2;1;5
23.06.2020;6;4;4;6;3;5
24.06.2020;3;1;;6;3;3
25.06.2020;2;1;;2;;7
26.06.2020;2;1;;3;2;8
27.06.2020;;6;;7;5;5
28.06.2020;;2;1;3;4;7
29.06.2020;9;4;7;2;3;6
30.06.2020;;4;4;;;5
01.07.2020;1;5;2;;5;10
02.07.2020;3;9;9;3;4;2
03.07.2020;5;3;2;3;3;3
04.07.2020;;3;4;5;6;2
05.07.2020;;3;5;7;4;13
06.07.2020;3;1;;3;4;5
07.07.2020;5;1;8;;6;10
08.07.2020;4;5;;1;6;5
09.07.2020;2;3;6;6;4;5
10.07.2020;5;3;4;2;5;
11.07.2020;;6;5;3;5;8
12.07.2020;;3;1;5;5;4
13.07.2020;11;2;6;5;6;8
14.07.2020;6;5;6;3;2;10
15.07.2020;2;8;4;2;1;2
16.07.2020;;3;;3;4;4
17.07.2020;;3;6;4;1;3
18.07.2020;;4;2;6;3;8
19.07.2020;;5;3;2;2;5
20.07.2020;9;2;3;4;2;6
21.07.2020;5;2;6;2;1;5
22.07.2020;2;1;5;;2;4
23.07.2020;2;4;4;2;3;10
24.07.2020;2;3;1;4;3;4
25.07.2020;;3;4;3;2;5
26.07.2020;;3;4;2;5;5
27.07.2020;14;2;5;4;3;2
28.07.2020;3;4;4;3;5;10
29.07.2020;3;2;2;4;2;7
30.07.2020;3;1;3;;6;8
31.07.2020;2;5;;7;2;
01.08.2020;;5;2;3;1;
02.08.2020;;4;1;5;3;
03.08.2020;15;4;5;;1;
04.08.2020;1;4;3;3;3;6
05.08.2020;6;2;1;3;4;5
06.08.2020;3;4;4;1;2;7
07.08.2020;4;2;4;11;4;8
08.08.2020;;1;3;2;4;7
09.08.2020;;7;4;4;7;5
10.08.2020;6;6;1;5;4;7
11.08.2020;3;3;2;5;;6
12.08.2020;6;5;;;;4
13.08.2020;1;4;3;3;3;9
14.08.2020;3;2;2;2;5;7
15.08.2020;;4;1;1;3;4
16.08.2020;;1;1;;1;6
17.08.2020;10;2;;5;3;5
18.08.2020;;2;3;1;9;2
19.08.2020;4;4;4;6;3;6
20.08.2020;4;5;3;7;4;5
21.08.2020;2;1;4;6;2;4
22.08.2020;;1;;3;2;4
23.08.2020;;4;1;9;3;7
24.08.2020;12;6;1;4;4;
25.08.2020;1;4;4;3;1;1
26.08.2020;3;2;2;4;2;
27.08.2020;7;2;2;2;3;4
28.08.2020;2;4;1;1;3;8
29.08.2020;;;3;3;6;10
30.08.2020;;5;2;3;6;2
31.08.2020;7;2;5;7;3;4
01.09.2020;1;2;;2;3;10
02.09.2020;3;4;1;3;2;12
03.09.2020;5;7;;3;1;4
04.09.2020;2;1;;4;6;5
05.09.2020;;2;2;1;6;5
06.09.2020;;;3;2;1;8
07.09.2020;9;7;3;8;4;6
08.09.2020;1;3;3;1;3;6
09.09.2020;3;5;5;4;3;
